,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
1,Census Tract 24.22,0.3423,72959.0,281300.0,48,453,002422,Census Tract 24.22,0.0,6.0,14.0,38.0,4161.012766901026,0.5179990008182905,5.7395521376909695,0.31735577509452373,0.23002805220148798,0.011098914501768508,0.03619024330602763,0.9577942082563154
2,Census Tract 24.23,0.4678,79044.0,276800.0,48,453,002423,Census Tract 24.23,0.0,12.0,2.0,36.0,2841.7001378812433,0.47311701538549084,2.499013829527016,0.3811514956577678,0.21003538115149567,0.01576069475715664,0.06352524927629463,0.9291156011924478
3,Census Tract 24.24,0.4783,54554.0,258800.0,48,453,002424,Census Tract 24.24,0.0,0.0,2.0,20.0,891.6644727371702,0.5090934749561001,10.653407472299762,0.30551705018020514,0.2611588577765456,0.024397005822012752,0.21688788477831122,0.9380214541120382
4,Census Tract 24.37,0.3468,91696.0,318600.0,48,453,002437,Census Tract 24.37,0.0,8.0,55.0,7.0,1556.93762129824,0.5044228579292312,28.659923171546076,0.40346682606096834,0.4666268180912532,0.07571229328551504,0.027777777777777776,0.9467640918580376
5,Census Tract 24.42,0.2726,79688.0,216400.0,48,453,002442,Census Tract 24.42,0.0,0.0,0.0,17.0,2228.1669296126515,0.7115893676473435,0.0,0.10612903225806451,0.24645161290322581,0.013225806451612903,0.11129032258064517,0.936
6,Census Tract 24.43,0.3469,59915.0,408600.0,48,453,002443,Census Tract 24.43,2.0,14.0,18.0,29.0,9022.614616036075,0.4911307309546363,3.427081336877335,0.3123262279888786,0.5331325301204819,0.0020852641334569047,0.11978683966635774,0.9679671457905544
7,Census Tract 24.44,0.4351,72019.0,256300.0,48,453,002444,Census Tract 24.44,0.0,10.0,4.0,57.0,1223.9748153181222,0.4967314968845503,15.50395205102051,0.32738374823860966,0.3175199624236731,0.030061061531235323,0.22525276275570186,0.9761038961038961
8,Census Tract 24.47,0.2837,65530.0,196700.0,48,453,002447,Census Tract 24.47,0.0,0.0,11.0,37.0,1347.8688537647668,0.8083551925963075,5.216244073412752,0.12835820895522387,0.17096336499321574,0.01953867028493894,0.13198671831765357,0.9474885844748858
9,Census Tract 25,0.4136,74923.0,459300.0,48,453,002500,Census Tract 25,3.0,4.0,62.0,11.0,5277.430183495896,0.43761007673176644,16.761338296838762,0.45923868648913574,0.28263355660839734,0.026466263682404834,0.058188950637463224,0.9636952998379255
15,Census Tract 300,0.5141,123105.0,615800.0,48,453,030000,Census Tract 300,0.0,0.0,9.0,15.0,1842.2881724847477,0.4421728328529188,5.58711276561292,0.6222814025743453,0.11984021304926765,0.022636484687083888,0.03613636363636363,0.9152468326780253
