,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 402,0.4117,70543.0,258600.0,25,011,040200,Census Tract 402,0.0,2.0,4.0,2.0,12108.697518782128,0.47786728221072344,3.626136380756464,0.30212093862815886,0.1523014440433213,0.0273014440433213,0.06929347826086957,0.9144981412639405
2,Census Tract 403,0.4223,75900.0,244300.0,25,011,040300,Census Tract 403,0.0,14.0,4.0,9.0,9529.29026884689,0.48699900957411685,0.8151084730636246,0.3242515977127481,0.12512613521695257,0.025563403969054828,0.041383989145183174,0.8606060606060606
6,Census Tract 1.01,0.326,118031.0,483800.0,25,025,000101,Census Tract 1.01,0.0,6.0,4.0,16.0,14496.057390571472,0.4271944552068535,9.954013366391683,0.5558838010832102,0.5888724766125062,0.0413589364844904,0.11435768261964735,1.0
7,Census Tract 1.02,0.3992,102768.0,599100.0,25,025,000102,Census Tract 1.02,2.0,54.0,77.0,26.0,14083.25145526149,0.37831482414588485,1.4910340632505932,0.4115161119915478,0.502905441098785,0.012678288431061807,0.23666138404648707,0.9283707865168539
8,Census Tract 2.01,0.3512,108098.0,637600.0,25,025,000201,Census Tract 2.01,0.0,38.0,7.0,20.0,9108.385312247245,0.4066671498890811,7.002904691558812,0.5100655960190003,0.4711603709567971,0.03325039583804569,0.15246941549614862,0.9799131378935939
9,Census Tract 2.02,0.4088,81371.0,757200.0,25,025,000202,Census Tract 2.02,0.0,16.0,20.0,8.0,1425.4422544695788,0.43705633136452526,5.647662756176213,0.3252925722474325,0.3940769047050394,0.02531645569620253,0.1690948172916169,0.9868766404199475
10,Census Tract 3.01,0.2763,121585.0,630400.0,25,025,000301,Census Tract 3.01,0.0,14.0,3.0,16.0,6018.124650098433,0.41412469782467676,7.455952124839162,0.481353591160221,0.5953038674033149,0.006215469613259668,0.03922274199352285,0.9372453137734311
11,Census Tract 3.02,0.3414,103696.0,524300.0,25,025,000302,Census Tract 3.02,0.0,8.0,18.0,10.0,9613.47760780839,0.39338595855118275,1.3188052036853384,0.5542658154381892,0.4599535693557748,0.033372025536854324,0.04730121880441091,0.9439775910364145
12,Census Tract 4.01,0.4734,66457.0,626400.0,25,025,000401,Census Tract 4.01,0.0,14.0,9.0,20.0,3388.1716635929756,0.4155524117855102,12.827440207755478,0.5837095900307026,0.5573415206790681,0.02799349828426946,0.23631750634287785,0.9401315789473684
13,Census Tract 4.02,0.5111,98715.0,761100.0,25,025,000402,Census Tract 4.02,0.0,20.0,26.0,36.0,9183.138312722289,0.4235939380676223,16.57055883654954,0.566373840897999,0.49487554904831627,0.02659834065397755,0.12047892242454478,0.9402887139107612
14,Census Tract 5.02,0.4889,70000.0,581500.0,25,025,000502,Census Tract 5.02,1.0,10.0,38.0,13.0,20306.242530447857,0.4229543470972632,2.564822236026334,0.33592760180995473,0.6340271493212669,0.021176470588235293,0.22039030955585465,0.9267734553775744
15,Census Tract 5.03,0.3406,77857.0,400000.0,25,025,000503,Census Tract 5.03,0.0,2.0,2.0,23.0,7762.527596053627,0.41792596863449555,4.34116876868071,0.6251768033946252,0.628005657708628,0.021216407355021217,0.13219512195121952,0.9045383411580594
16,Census Tract 5.05,0.4646,56094.0,476600.0,25,025,000505,Census Tract 5.05,0.0,6.0,2.0,0.0,3882.333850541736,0.3622361575750646,3.563249540027261,0.5038593481989708,0.4841337907375643,0.05060034305317324,0.2141280353200883,0.9146877748460862
17,Census Tract 5.06,0.433,71458.0,451000.0,25,025,000506,Census Tract 5.06,2.0,0.0,26.0,17.0,6972.992368583928,0.4249340201841342,2.630392912660242,0.6005070626584571,0.6323795726186164,0.022093444404201378,0.25316914161535675,0.9924914675767919
18,Census Tract 6.01,0.3709,111094.0,464000.0,25,025,000601,Census Tract 6.01,0.0,42.0,25.0,12.0,32454.003999988978,0.40454718274151497,5.374578159557961,0.5214770158251696,0.5267520723436323,0.013564431047475508,0.10551741673023138,0.9592696629213483
21,Census Tract 7.01,0.3945,80208.0,485200.0,25,025,000701,Census Tract 7.01,0.0,0.0,18.0,11.0,32502.504541576487,0.39628486695218673,7.850128188323364,0.6512540894220283,0.779062159214831,0.08331515812431843,0.16556728232189974,0.952863436123348
23,Census Tract 7.04,0.4301,63874.0,423800.0,25,025,000704,Census Tract 7.04,0.0,6.0,126.0,18.0,26472.538178158116,0.3739091336677308,5.053623749142631,0.5819059107358263,0.7833534378769602,0.00916767189384801,0.2552472858866104,0.9416896235078053
24,Census Tract 8.04,0.4176,96935.0,572100.0,25,025,000804,Census Tract 8.04,0.0,22.0,95.0,36.0,20857.31816072557,0.37219660405706784,5.504340724640877,0.3706293706293706,0.44002151694459385,0.006724045185583647,0.12183969876277569,0.9468822170900693
28,Census Tract 101.03,0.6893,33227.0,345500.0,25,025,010103,Census Tract 101.03,0.0,18.0,51.0,9.0,26044.57631372524,0.38536106463798714,4.000984095982991,0.11321791701016763,0.4517724649629019,0.08958505083814235,0.3482758620689655,0.8477366255144033
29,Census Tract 101.04,0.5814,59795.0,775800.0,25,025,010104,Census Tract 101.04,5.0,8.0,63.0,39.0,10236.279607450635,0.40126255248073034,11.484853889344064,0.37020091505868313,0.5008951661030435,0.048537895365028845,0.2666182346531057,0.9068157614483493
30,Census Tract 102.04,0.5523,42841.0,372400.0,25,025,010204,Census Tract 102.04,2.0,20.0,56.0,34.0,2596.2269156940242,0.40098280102143874,11.624228278863443,0.2960684675046804,0.573415351698315,0.06820005349023803,0.3418580375782881,0.8855678906917165
32,Census Tract 103,0.4159,56875.0,406300.0,25,025,010300,Census Tract 103,0.0,28.0,31.0,2.0,3171.146183835006,0.4076710726188816,3.4010458164724224,0.07089210478109544,0.4689503572082799,0.06539659278256091,0.2340966921119593,0.9633699633699634
34,Census Tract 104.04,0.6022,26023.0,571400.0,25,025,010404,Census Tract 104.04,0.0,4.0,61.0,8.0,42953.496797637206,0.3781866101738684,11.750506344785915,0.14749554543654722,0.4589190259354583,0.09918827954860424,0.5008163265306123,0.8059100067159167
35,Census Tract 104.05,0.5476,18481.0,546900.0,25,025,010405,Census Tract 104.05,0.0,24.0,100.0,7.0,20632.044901582874,0.39273483169348083,9.7373551300963,0.06775024139040875,0.46572256195687156,0.12825877051818474,0.41587802313354366,0.891260162601626
36,Census Tract 104.08,0.4192,64714.0,531300.0,25,025,010408,Census Tract 104.08,0.0,0.0,0.0,3.0,12976.098149970048,0.38674317407864917,5.614817457012654,0.6122594440484675,0.7327156094084105,0.01496792587312901,0.25374198146828225,0.9173098125689085
37,Census Tract 105,0.5449,47304.0,1017400.0,25,025,010500,Census Tract 105,3.0,10.0,159.0,55.0,79794.37364741247,0.41948022693779063,9.523152629514371,0.4976851851851852,0.5089699074074074,0.05381944444444445,0.2689561373682421,0.8437801350048216
39,Census Tract 106,0.6133,95543.0,1558300.0,25,025,010600,Census Tract 106,20.0,18.0,259.0,60.0,11899.286032775031,0.3904678151105829,0.0,0.7548443922489724,0.37815619495008806,0.004697592483852026,0.14298297122724604,0.7671525062211162
41,Census Tract 107.01,0.5854,116267.0,1118300.0,25,025,010701,Census Tract 107.01,2.0,4.0,376.0,49.0,2224.9513346475806,0.41538005230044556,10.514925048208474,0.6935771632471008,0.49018733273862625,0.0191793041926851,0.07288935500786575,0.8053097345132744
42,Census Tract 107.02,0.5386,155485.0,1335200.0,25,025,010702,Census Tract 107.02,4.0,8.0,454.0,20.0,7547.796459476328,0.4545411023015023,7.938665016760101,0.7476172321768967,0.36713686618375907,0.05375524208921083,0.044219066937119675,0.8379920136908158
43,Census Tract 108.01,0.5412,116507.0,1569400.0,25,025,010801,Census Tract 108.01,0.0,0.0,4.0,14.0,5183.062019231024,0.4385121524159918,8.078740934208893,0.6307067974298275,0.3831586066959757,0.02096719648292188,0.08429561200923788,0.8250128667009778
44,Census Tract 108.02,0.5248,146094.0,1126400.0,25,025,010802,Census Tract 108.02,0.0,2.0,9.0,30.0,26784.78962737541,0.45649525947566755,13.417942591048797,0.7512394284047827,0.46048410615339747,0.037328667249927096,0.058823529411764705,0.8872431915910177
45,Census Tract 201.01,0.5198,143529.0,1469600.0,25,025,020101,Census Tract 201.01,5.0,2.0,119.0,61.0,7247.919632983566,0.4749455926544091,7.933700127170346,0.7817832764505119,0.39761092150170646,0.016851535836177475,0.03038733147870747,0.8695652173913043
46,Census Tract 202,0.4654,103750.0,714600.0,25,025,020200,Census Tract 202,3.0,0.0,65.0,58.0,11351.585103584488,0.45493020432384756,10.435200134690124,0.7642563198118754,0.5825984714873603,0.009112286890064668,0.08171663727219283,0.8433141919606235
47,Census Tract 203.01,0.5276,95179.0,616200.0,25,025,020301,Census Tract 203.01,2.0,0.0,51.0,34.0,9783.063295677302,0.447307457430957,0.0,0.6626814688300597,0.49487617421007685,0.02391118701964133,0.13658977838082315,0.8615916955017301
48,Census Tract 203.02,0.4503,131071.0,1053600.0,25,025,020302,Census Tract 203.02,0.0,0.0,34.0,40.0,2034.9587154036053,0.45637611372672515,2.096891704625096,0.8345549738219895,0.5643979057591623,0.048167539267015703,0.04712041884816754,0.8552845528455284
50,Census Tract 203.05,0.4876,94643.0,645000.0,25,025,020305,Census Tract 203.05,1.0,6.0,88.0,66.0,19537.234192348766,0.39779015109472626,10.689062852271924,0.6097350230414746,0.2767857142857143,0.014112903225806451,0.08199581297976273,0.786950074147306
51,Census Tract 301,0.4081,101648.0,571600.0,25,025,030100,Census Tract 301,0.0,0.0,11.0,28.0,1169.286789908605,0.4927955026229183,3.121851406311458,0.5493083444890674,0.6992414100847836,0.0,0.16688978134761268,0.9202407825432656
52,Census Tract 302,0.3898,99550.0,626600.0,25,025,030200,Census Tract 302,0.0,2.0,22.0,5.0,1172.949506405564,0.4611884562888709,4.453851480341185,0.7672919109026963,0.746189917936694,0.017584994138335287,0.02637749120750293,0.8903225806451613
