,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 607,0.3944,26619.0,155400.0,12,009,060700,Census Tract 607,0.0,2.0,5.0,16.736072360480854,13.0,765.8361034515344,0.37212928433494047,0.0,0.02753737214791503,0.18253343823760818,0.04720692368214005,0.4069952305246423,0.686646884272997
2,Census Tract 610.01,0.3938,47961.0,227200.0,12,009,061001,Census Tract 610.01,0.0,8.0,11.0,19.55778290040602,15.0,2552.0203525664724,0.41384813439705115,2.640127897533152,0.21476014760147602,0.17988929889298894,0.03616236162361624,0.08837638376383763,0.8392517438173748
4,Census Tract 611,0.3839,63375.0,193000.0,12,009,061100,Census Tract 611,0.0,10.0,15.0,18.574489113069568,16.0,4707.797894302378,0.46112894184529635,1.098896744518449,0.2082700421940928,0.16253164556962024,0.015527426160337553,0.05510729613733906,0.7557540364136036
6,Census Tract 106.01,0.4057,45234.0,203700.0,12,021,010601,Census Tract 106.01,0.0,2.0,84.0,14.012743002161542,9.0,674.6082523397098,0.4475488872297501,0.0,0.12968099861303745,0.17475728155339806,0.01768377253814147,0.16951517265434252,0.9069565217391304
12,Census Tract 109.02,0.5165,93281.0,664400.0,12,021,010902,Census Tract 109.02,0.0,0.0,5.0,6.1026192251883415,17.0,5652.645236065269,0.5019463432564328,5.57194413367008,0.32511323603422243,0.06089582284851535,0.004529441368897836,0.0626572722697534,0.7186978297161937
14,Census Tract 104.03,0.4301,45145.0,170000.0,12,027,010403,Census Tract 104.03,0.0,0.0,16.0,7.512210026839835,3.0,9587.960345248564,0.47232711145368367,1.1583851872097717,0.19545578976183958,0.13632630714481248,0.0071174377224199285,0.09608540925266904,0.7761276127612762
16,Census Tract 104.06,0.3737,38648.0,89700.0,12,027,010406,Census Tract 104.06,0.0,0.0,8.0,6.889079911410485,4.0,2860.197278772996,0.42629180680234446,3.228615333394241,0.09156293222683264,0.13526970954356846,0.02268326417704011,0.1631288165164292,0.8063427800269906
18,Census Tract 101.03,0.5175,64362.0,389500.0,12,011,010103,Census Tract 101.03,0.0,0.0,43.0,8.562679413101927,91.0,3293.464939930719,0.47332821447774254,8.539201549206744,0.2694736842105263,0.16330827067669174,0.05353383458646616,0.08030075187969925,0.7763409961685823
19,Census Tract 102.01,0.346,50972.0,164700.0,12,011,010201,Census Tract 102.01,0.0,0.0,7.0,6.866006318032363,23.0,1243.8229376006007,0.5035873688908725,1.86305186187897,0.19489723600283487,0.17150956768249467,0.06520198440822111,0.16229624379872432,0.9440203562340967
22,Census Tract 102.02,0.5392,48867.0,320600.0,12,011,010202,Census Tract 102.02,0.0,4.0,25.0,8.492597887835869,53.0,5373.725381882241,0.43823116540106144,2.2450312735480176,0.1790190735694823,0.20381471389645778,0.03678474114441417,0.2453970871118439,0.779887121600821
