,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 3521.01,0.5023,81083.0,670600.0,25,017,352101,Census Tract 3521.01,3.0,4.0,21,29,11847.009533618444,0.38502376439179997,3.5402199744106686,0.6680716543730242,0.6027397260273972,0.014401123990165085,0.1703547593958553,0.7882608695652173
1,Census Tract 3521.02,0.4533,121645.0,861000.0,25,017,352102,Census Tract 3521.02,4.0,12.0,49,22,4070.8587465087594,0.42563873934986296,4.110848495312836,0.632467094161323,0.35572055349308135,0.044886938913263584,0.0772108843537415,0.8961713173264114
2,Census Tract 3522,0.4662,61875.0,557000.0,25,017,352200,Census Tract 3522,2.0,8.0,36,7,4216.6244663820235,0.3822367310450253,15.052195267007937,0.484593837535014,0.49411764705882355,0.026330532212885154,0.24649859943977592,0.9352380952380952
3,Census Tract 3523,0.4644,128021.0,862200.0,25,017,352300,Census Tract 3523,0.0,0.0,75,80,18534.63271447789,0.36854678854047546,6.6652213994104885,0.6584063234351635,0.4522537919248024,0.022858363597521896,0.0985885372112917,0.9054621848739496
4,Census Tract 3524,0.4374,65446.0,633900.0,25,017,352400,Census Tract 3524,0.0,10.0,33,5,11783.661170933701,0.3741151789698541,3.9499587924333204,0.24460011675423235,0.28021015761821366,0.06071220081727963,0.18797431406888498,0.8458274398868458
5,Census Tract 3525,0.4176,112273.0,916200.0,25,017,352500,Census Tract 3525,0.0,16.0,19,49,12151.570697151576,0.37547014358739195,5.2752511781710085,0.552413157085767,0.5069166922840455,0.019674146941284967,0.07101137411620043,0.9099656357388316
6,Census Tract 3526,0.4638,100208.0,767400.0,25,017,352600,Census Tract 3526,0.0,12.0,29,33,4523.158392130861,0.4160563347212888,13.954472797575566,0.3951561504142766,0.44773741236456344,0.0207138304652645,0.21606118546845124,1.0
7,Census Tract 3527,0.4953,55691.0,671300.0,25,017,352700,Census Tract 3527,0.0,14.0,46,18,4906.17990908878,0.3834031072044339,4.702638236594066,0.3550755939524838,0.40734341252699785,0.024622030237580993,0.1615550755939525,0.9575098814229249
8,Census Tract 3528,0.3891,110714.0,808600.0,25,017,352800,Census Tract 3528,0.0,16.0,36,11,4437.893540549498,0.41232329015702884,7.117219784377367,0.5558852621167161,0.4797230464886251,0.018298714144411473,0.08358061325420375,0.9840881272949816
9,Census Tract 3529,0.4408,153315.0,1025400.0,25,017,352900,Census Tract 3529,1.0,20.0,15,38,9512.694190301852,0.4195453989421807,6.404533486977103,0.6666666666666666,0.3302814513394371,0.03628348592743303,0.04290091930541369,0.9138549892318737
