,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 2510,0.4175,36923.0,188500.0,17,031,251000,Census Tract 2510,0.0,24.0,6.0,0.0,3114.7174109284456,0.5094517727170789,0.0,0.03811434302908726,0.21865596790371114,0.07221664994984955,0.3059177532597793,0.8771929824561403
1,Census Tract 2511,0.5414,22727.0,178300.0,17,031,251100,Census Tract 2511,0.0,22.0,8.0,0.0,2881.0280901453193,0.4953044603601643,0.0,0.0516481209321856,0.17195045139617887,0.04765903842116313,0.32301537165719096,0.9048414023372288
2,Census Tract 2512,0.4193,51192.0,159800.0,17,031,251200,Census Tract 2512,0.0,32.0,8.0,3.0,6987.376940723679,0.513027075100556,1.406804760419377,0.04506295559973492,0.27324939253368674,0.0682571239231279,0.1073558648111332,0.9008142116950407
3,Census Tract 2513,0.4942,30580.0,211900.0,17,031,251300,Census Tract 2513,0.0,36.0,6.0,0.0,9741.6432078335,0.4860653070832339,0.0,0.05663265306122449,0.18214285714285713,0.056377551020408166,0.26198979591836735,0.7546961325966851
4,Census Tract 2514,0.5667,18740.0,256400.0,17,031,251400,Census Tract 2514,0.0,28.0,8.0,5.0,6178.610847773023,0.43598836734249724,1.479084714728297,0.09887005649717515,0.15202876219825373,0.05649717514124294,0.28829759752002065,0.9259593679458239
5,Census Tract 2515,0.5271,45385.0,197700.0,17,031,251500,Census Tract 2515,0.0,22.0,11.0,7.0,3593.081967642806,0.48781478932304667,0.0,0.08780699847859161,0.21712671158443816,0.09432732014779396,0.2717892425905598,0.86337395766517
6,Census Tract 2516,0.4628,30938.0,178000.0,17,031,251600,Census Tract 2516,0.0,14.0,4.0,0.0,13019.23932746186,0.505011180517993,6.768859273823004,0.04,0.17767441860465116,0.03604651162790698,0.29209302325581393,0.8459302325581395
7,Census Tract 2517,0.4326,52692.0,135600.0,17,031,251700,Census Tract 2517,0.0,20.0,4.0,0.0,1759.9120707819002,0.491087206548948,0.0,0.09270998415213946,0.18541996830427893,0.01584786053882726,0.19572107765451663,0.8453159041394336
8,Census Tract 2518,0.4481,25517.0,225900.0,17,031,251800,Census Tract 2518,0.0,32.0,4.0,2.0,5957.793698284621,0.4731828838079521,4.365031561027113,0.06415458937198068,0.23227053140096618,0.1051207729468599,0.4500592183181998,0.832574607991907
9,Census Tract 2519,0.576,22939.0,169600.0,17,031,251900,Census Tract 2519,0.0,30.0,3.0,2.0,14526.536588282488,0.4810447415217055,1.6303895410890779,0.03800125971026664,0.21205122821750996,0.06403527188746588,0.4130663856691254,0.844106463878327
10,Census Tract 2520,0.4433,25432.0,230700.0,17,031,252000,Census Tract 2520,0.0,30.0,6.0,7.0,12948.091145701961,0.48056538917253067,0.0,0.08329971762807584,0.2535296490520371,0.03993545784590561,0.29074614422676115,0.8872620790629575
11,Census Tract 2521.01,0.7459,19265.0,258700.0,17,031,252101,Census Tract 2521.01,0.0,46.0,57.0,2.0,847.1995132510003,0.48687626085510377,2.2767858991237637,0.1768813033359193,0.18076027928626842,0.062063615205585725,0.32195500387897596,0.8382749326145552
