,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 327.03,0.2949,79130.0,165100.0,39,045,032703,Census Tract 327.03,0.0,0.0,0.0,17.0890797389747,0.0,2139.44730916322,0.34872993050563145,0.0,0.12182875264270614,0.2521141649048626,0.007399577167019027,0.0021141649048625794,0.9666011787819253
1,Census Tract 1.10,0.389,97256.0,243200.0,39,049,000110,Census Tract 1.10,0.0,22.0,29.0,10.31408449901733,9.0,2369.8524535663773,0.468027409233552,4.050543838481541,0.5371166523359129,0.23301805674978504,0.019776440240756664,0.07366007451991975,0.9590207557211282
2,Census Tract 1.20,0.4,88250.0,317000.0,39,049,000120,Census Tract 1.20,0.0,26.0,53.0,9.309165656235852,8.0,1911.7191034887237,0.46882094201261065,3.416235634301536,0.5351037851037851,0.11843711843711843,0.0027472527472527475,0.028693528693528692,0.9781839622641509
3,Census Tract 2.10,0.3894,97054.0,320500.0,39,049,000210,Census Tract 2.10,0.0,12.0,12.0,8.727337441837024,6.0,380.4012428237848,0.446472062265455,9.61247353768837,0.5195324515533682,0.21347277760689018,0.02060904337127038,0.04275607505382959,0.9734513274336283
4,Census Tract 2.20,0.3362,116802.0,361200.0,39,049,000220,Census Tract 2.20,0.0,26.0,40.0,7.8959125448881835,13.0,2312.7620350558836,0.48361056148570986,10.211636070245653,0.6401694492898081,0.15001245950660355,0.05357587839521555,0.01769249937702467,0.9522799575821845
5,Census Tract 3.20,0.3594,42064.0,99700.0,39,049,000320,Census Tract 3.20,0.0,10.0,5.0,8.117325289892706,2.0,3226.033244365499,0.39232963265664084,3.1308429138181157,0.1456864719704599,0.25075528700906347,0.025176233635448138,0.15290933694181327,0.979235880398671
6,Census Tract 3.30,0.3941,27763.0,68800.0,39,049,000330,Census Tract 3.30,0.0,10.0,9.0,6.9476281861726985,1.0,2866.118599290259,0.3888343642411468,1.1973188283206742,0.0703499079189687,0.22357274401473295,0.05414364640883978,0.41731123388581953,0.9311594202898551
7,Census Tract 4.10,0.3416,77269.0,241400.0,39,049,000410,Census Tract 4.10,0.0,8.0,28.0,7.134279936812046,10.0,1866.091380376179,0.46559434860860394,7.638145167853308,0.5487804878048781,0.43986543313709,0.034482758620689655,0.04,0.9298986486486487
8,Census Tract 4.20,0.4187,80465.0,286900.0,39,049,000420,Census Tract 4.20,0.0,24.0,23.0,6.950428507634776,6.0,2168.7977472854627,0.46756994403436153,7.355336434517901,0.5395582890690522,0.2172211350293542,0.018451216102879506,0.03116226838854576,0.9552058111380145
9,Census Tract 7.10,0.4409,38462.0,59900.0,39,049,000710,Census Tract 7.10,0.0,12.0,17.0,5.95185490468504,13.0,4735.05969940229,0.3802369993080741,3.4382232403771815,0.07982319292771711,0.18434737389495578,0.03562142485699428,0.24124411918452693,0.9426751592356688
10,Census Tract 7.20,0.458,23813.0,56900.0,39,049,000720,Census Tract 7.20,1.0,22.0,26.0,4.750770466787378,2.0,1663.7931295719898,0.3780815932710247,1.4588191368373369,0.02662167229096363,0.1582302212223472,0.07949006374203224,0.47728126173488544,0.8526228143213989
11,Census Tract 7.30,0.4477,23727.0,54800.0,39,049,000730,Census Tract 7.30,0.0,26.0,0.0,4.855351110943566,6.0,4671.569186293201,0.44698284634851626,0.0,0.06432008103317295,0.24208660420359585,0.07368954165611548,0.6317122593718338,0.8021911138161899
12,Census Tract 8.10,0.4128,38403.0,94100.0,39,049,000810,Census Tract 8.10,0.0,12.0,3.0,7.00212876828447,0.0,1498.8409396827801,0.3956130741554787,0.0,0.08538251366120218,0.19774590163934427,0.05327868852459016,0.29849726775956287,0.946271050521251
13,Census Tract 9.10,0.3967,35250.0,62100.0,39,049,000910,Census Tract 9.10,0.0,20.0,13.0,5.948092918798609,5.0,3547.009675658621,0.39351316590956303,0.596377205318233,0.03896103896103896,0.29897186147186144,0.05925324675324675,0.3317997293640054,0.8096446700507615
14,Census Tract 11.10,0.5421,19746.0,167100.0,39,049,001110,Census Tract 11.10,0.0,12.0,64.0,4.879175595979886,23.0,2170.339354204839,0.38832364128894925,5.343077955160862,0.10576923076923077,0.7771291208791209,0.06078296703296703,0.6305601317957167,0.7783417935702199
16,Census Tract 16,0.3749,52578.0,136200.0,39,023,001600,Census Tract 16,0.0,16.0,9.0,2.7574275968003827,31.0,2324.0805098076626,0.47809739204006496,0.0,0.08639121641144178,0.11904073967061543,0.035538861600693444,0.10112684195319271,0.9142665773610181
21,Census Tract 13.01,0.463,27315.0,223500.0,39,049,001301,Census Tract 13.01,0.0,2.0,7.0,3.4643628102621924,25.0,4313.124646781106,0.44935257097967723,8.106175960889267,0.10652591170825336,0.800383877159309,0.03262955854126679,0.6184041184041184,0.8926353149955635
27,Census Tract 18.20,0.4356,62500.0,308300.0,39,049,001820,Census Tract 18.20,1.0,38.0,54.0,2.6579193462551887,60.0,6511.612459591285,0.4347539735971665,4.255456694680342,0.5474789915966387,0.6420168067226891,0.030252100840336135,0.11826599326599327,0.8758526603001364
28,Census Tract 25.20,0.4314,46350.0,154200.0,39,049,002520,Census Tract 25.20,0.0,26.0,8.0,4.11454553146381,13.0,6165.465524329343,0.3789852531456041,10.69654871462382,0.24544551175886056,0.3524345809870818,0.04968532626697582,0.2899590163934426,0.8661616161616161
30,Census Tract 27.30,0.4217,25313.0,78300.0,39,049,002730,Census Tract 27.30,0.0,0.0,17.0,7.639455590981114,7.0,821.1213220226567,0.403476038846616,0.0,0.05812937062937063,0.2491258741258741,0.06949300699300699,0.32047347654537484,0.864406779661017
31,Census Tract 27.40,0.3516,89063.0,227300.0,39,049,002740,Census Tract 27.40,0.0,0.0,1.0,6.9334290172132516,9.0,8407.741581050357,0.39697821233625424,0.726882573785875,0.4749251497005988,0.1875,0.006736526946107785,0.08308383233532934,0.9757847533632287
32,Census Tract 27.50,0.4897,25868.0,70800.0,39,049,002750,Census Tract 27.50,0.0,6.0,4.0,7.793239490585882,1.0,6310.243247400652,0.3983542290334396,1.8747045041350197,0.05140562248995984,0.20923694779116467,0.08072289156626505,0.4329979879275654,0.8654012079378774
33,Census Tract 27.60,0.5739,43116.0,137300.0,39,049,002760,Census Tract 27.60,0.0,18.0,15.0,6.927636745620618,11.0,4173.401992570129,0.376178978212426,6.141938706454037,0.28308339910549857,0.2851881083925283,0.12207313864772429,0.14601420678768745,0.9466811751904244
34,Census Tract 27.70,0.4138,30774.0,62700.0,39,049,002770,Census Tract 27.70,0.0,8.0,9.0,7.784642930863875,0.0,2091.1132272398427,0.3932324174780692,0.0,0.08088589311506982,0.16273471352912855,0.05247953779489649,0.25545322346097915,0.8946850393700787
35,Census Tract 27.80,0.4151,56250.0,204000.0,39,049,002780,Census Tract 27.80,0.0,16.0,6.0,6.55479220957083,2.0,2770.7845786497037,0.3831130483542987,15.29439020577262,0.4868421052631579,0.11070780399274047,0.012250453720508167,0.03933948518698397,0.9651162790697675
36,Census Tract 40.01,0.4276,34048.0,253600.0,39,049,004001,Census Tract 40.01,1.0,6.0,17.0,1.3961120788448909,8.0,1617.4968325842854,0.39062996728081145,4.239781790062694,0.39961759082217974,0.727214786488209,0.04206500956022945,0.28616953473550033,0.9218612818261633
37,Census Tract 40.02,0.5947,62411.0,304400.0,39,049,004002,Census Tract 40.02,5.0,80.0,135.0,1.0458663902457421,77.0,2346.452095731261,0.37848621173717195,3.068622006768433,0.49076664801343034,0.45383324006715164,0.006715165081141578,0.22271964185786233,0.8612580834803057
39,Census Tract 43.02,0.4185,24975.0,60800.0,39,049,004302,Census Tract 43.02,0.0,0.0,8.0,3.3259953944576606,5.0,2225.3972206156136,0.4523724981632061,0.0,0.0422034651266104,0.14749000444247,0.0,0.6263882718791648,0.8192019950124688
