,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 318.12,0.3885,70227.0,319400.0,48,085,031812,Census Tract 318.12,1.0,0.0,21.0,23.266682738507537,9.0,725.2227052435692,0.4467641486267309,9.158482886377257,0.7357142857142858,0.05,0.0,0.008928571428571428,0.9014454664914586
1,Census Tract 22,0.3806,67303.0,185600.0,48,423,002200,Census Tract 22,2.0,14.0,60.0,1.2910530522212855,109.0,4064.906421505111,0.46711663059538894,0.753592820808951,0.1848052334225394,0.1375260184359203,0.009812667261373774,0.10833831440526001,0.9152058703628211
6,Census Tract 4.07,0.4375,45987.0,321900.0,48,113,000407,Census Tract 4.07,0.0,2.0,9.0,5.350239588787791,22.0,3949.500604879743,0.5561398160097559,9.50804330188784,0.260912211868563,0.2829818538499264,0.016674840608141245,0.1211378126532614,0.8857938718662952
8,Census Tract 4.08,0.2965,75807.0,159100.0,48,113,000408,Census Tract 4.08,0.0,2.0,7.0,4.7708074965788265,11.0,5291.049445849516,0.4293855713071756,5.742719459256925,0.491683569979716,0.4815415821501014,0.023935091277890466,0.05963488843813387,0.9118915588416513
12,Census Tract 4.10,0.5109,39588.0,174700.0,48,113,000410,Census Tract 4.10,0.0,2.0,26.0,9.14453739734797,26.0,1415.8250807325103,0.678141577502358,0.0,0.04706577392674281,0.17841669948798738,0.040173296573454115,0.1998818432453722,0.9728535353535354
14,Census Tract 5.03,0.3126,75924.0,185700.0,48,113,000503,Census Tract 5.03,0.0,4.0,5.0,3.3648916955473074,44.0,8525.810848074912,0.37093914539981154,7.29191345660727,0.6651718983557549,0.674638764324863,0.0,0.06477329347284504,0.9611959287531806
16,Census Tract 6.09,0.4492,75958.0,579000.0,48,113,000609,Census Tract 6.09,0.0,0.0,16.0,5.70638818228109,5.0,2625.163024527381,0.39224170900705024,15.990159351725993,0.7078514911746805,0.6202069385270846,0.030432136335970784,0.01704199634814364,0.9486709440879927
18,Census Tract 6.11,0.3953,53056.0,195600.0,48,113,000611,Census Tract 6.11,0.0,0.0,4.0,4.830213401601973,20.0,4665.463446599791,0.4005152116945696,9.608202683054044,0.4797979797979798,0.5085858585858586,0.04494949494949495,0.12626262626262627,0.8748419721871049
19,Census Tract 7.03,0.4263,128388.0,374300.0,48,113,000703,Census Tract 7.03,0.0,0.0,20.0,3.15262015423785,121.0,5293.324269490244,0.4255475000742284,8.080884859938477,0.7881445106980007,0.46895826025955806,0.04559803577692038,0.09119607155384075,0.8790786948176583
21,Census Tract 7.05,0.4744,80878.0,335600.0,48,113,000705,Census Tract 7.05,0.0,0.0,13.0,3.9407476274474615,22.0,4530.81416468203,0.4609821191298736,3.8383780355849213,0.6365330848089469,0.4641192917054986,0.004659832246039142,0.11090400745573159,0.8855788761002031
22,Census Tract 7.06,0.4514,85721.0,430600.0,48,113,000706,Census Tract 7.06,0.0,0.0,10.0,4.730393353830833,53.0,4479.599880599662,0.4758261599656639,5.834481117067538,0.7428214731585518,0.4887640449438202,0.018726591760299626,0.06117353308364544,0.8145328719723184
23,Census Tract 12.03,0.4278,87188.0,386800.0,48,113,001203,Census Tract 12.03,0.0,0.0,0.0,5.0759090572397865,5.0,2975.118200697126,0.5429597922772379,12.18818303313337,0.32305536089698667,0.21934127540294324,0.025227750525578137,0.019621583742116328,0.9535783365570599
24,Census Tract 12.04,0.3626,49583.0,123000.0,48,113,001204,Census Tract 12.04,0.0,0.0,1.0,4.535623823268868,9.0,4712.984353980551,0.8535276940926418,2.1664314805437854,0.06702006815600152,0.25785687239681937,0.06361226808027262,0.18192176224838588,0.8788598574821853
26,Census Tract 110.02,0.4095,51418.0,148500.0,48,037,011002,Census Tract 110.02,0.0,0.0,29.0,11.903623506383711,4.0,1660.3049515513496,0.39155872038975603,1.124290871416009,0.22082701883524572,0.23338384931803421,0.025763152197445335,0.08854730461138774,0.9629433562731604
29,Census Tract 111.01,0.3399,50860.0,110700.0,48,037,011101,Census Tract 111.01,0.0,2.0,7.0,14.873561721144444,2.0,855.7022261039834,0.4011293315866915,1.549710110170007,0.07080274686242008,0.2214065829978688,0.01894387875917594,0.2012639766650462,0.9230769230769231
32,Census Tract 17.03,0.4465,110505.0,466500.0,48,113,001703,Census Tract 17.03,0.0,0.0,20.0,1.7132893590021294,21.0,5344.671151073211,0.41192104867451573,6.9501642194895386,0.6813549986229689,0.6802533737262462,0.007160561828697329,0.14927017350592123,0.8847834723877632
35,Census Tract 17.05,0.5119,103835.0,406300.0,48,113,001705,Census Tract 17.05,5.0,44.0,41.0,0.8497658620642415,28.0,2694.390932704555,0.4272121677387701,9.400605493811758,0.792981072555205,0.46253943217665616,0.027602523659305992,0.04810725552050473,0.8864292589027911
