,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 1.01,0.3598,91300.0,420600.0,34,017,000101,Census Tract 1.01,1.0,0.0,3.0,4.322476404330291,3,9141.1508705034,0.47711313377579884,0.0,0.41499599037690454,0.23456295108259823,0.0136327185244587,0.09930242100943783,0.9328932893289329
2,Census Tract 1.02,0.4152,57841.0,395600.0,34,017,000102,Census Tract 1.02,0.0,16.0,3.0,4.093919029334859,10,12561.625682635547,0.4700527681701644,6.949265649262954,0.2739501312335958,0.31332020997375326,0.005249343832020997,0.07611548556430446,0.9561920808761584
4,Census Tract 12.01,0.3967,78258.0,385300.0,34,017,001201,Census Tract 12.01,0.0,10.0,2.0,2.3362621993671886,1,15849.221692446721,0.41071631436789086,10.72234925631259,0.428377153218495,0.3028105167724388,0.014052583862194016,0.12647325475974613,0.9315068493150684
5,Census Tract 12.02,0.4149,54967.0,420000.0,34,017,001202,Census Tract 12.02,0.0,22.0,25.0,1.864838952533945,23,5743.880173246733,0.4787766217907254,3.134782732921075,0.25733634311512416,0.272385252069225,0.021068472535741158,0.07984790874524715,0.8675282714054927
6,Census Tract 20.01,0.4846,67639.0,372500.0,34,017,002001,Census Tract 20.01,1.0,4.0,48.0,2.537680261571903,14,12037.937640575596,0.45409893928142503,2.8350994064050994,0.3947540983606557,0.25114754098360653,0.09049180327868853,0.35647530040053405,0.9073083778966132
7,Census Tract 20.02,0.4381,57849.0,358700.0,34,017,002002,Census Tract 20.02,0.0,12.0,27.0,2.279434014422717,10,14515.939970813723,0.4307839492728761,4.262857488931959,0.4005305039787798,0.33156498673740054,0.01856763925729443,0.2512315270935961,0.86074177746676
8,Census Tract 27,0.4943,57222.0,339600.0,34,017,002700,Census Tract 27,0.0,10.0,13.0,3.6937257774399974,16,4730.030090727592,0.40078446372774745,6.471778377102858,0.1724264705882353,0.18308823529411763,0.02022058823529412,0.11024930747922437,0.9454545454545454
9,Census Tract 28,0.4213,65397.0,378300.0,34,017,002800,Census Tract 28,0.0,12.0,16.0,2.7630767871231727,11,18417.566436706482,0.39532997310971774,9.030532155461174,0.3104082383229128,0.22416329532916512,0.006068407502758367,0.28085022633339896,0.9170468685192866
12,Census Tract 29,0.4512,55862.0,355500.0,34,017,002900,Census Tract 29,0.0,22.0,34.0,2.533118125464348,12,17261.56182445428,0.39357090899499025,7.051301632574272,0.35920114122681884,0.3001426533523538,0.03937232524964337,0.15565299091763232,0.87409200968523
13,Census Tract 30,0.4989,40731.0,445000.0,34,017,003000,Census Tract 30,0.0,16.0,14.0,2.2050764924512665,21,10161.201830228787,0.43516247260911967,0.0,0.35705765407554674,0.2524850894632207,0.028628230616302187,0.24869634977938226,0.8902053712480252
14,Census Tract 41.02,0.4294,72344.0,687500.0,34,017,004102,Census Tract 41.02,0.0,22.0,0.0,2.4679346277522627,12,19149.25779384354,0.4513281605856516,1.4806196718834739,0.24493838028169015,0.29599471830985913,0.0820862676056338,0.10277288732394366,0.9423459244532804
15,Census Tract 41.03,0.5052,114318.0,402000.0,34,017,004103,Census Tract 41.03,0.0,12.0,2.0,3.0081371404825177,3,10944.21852352606,0.41792844352359937,2.681814127494202,0.3775566611387507,0.25207296849087896,0.0,0.11608623548922056,0.8571428571428571
16,Census Tract 41.04,0.5536,56100.0,372200.0,34,017,004104,Census Tract 41.04,0.0,14.0,2.0,2.844924448389801,2,21993.17261246343,0.3874868289431029,16.069150541944644,0.22358510867226167,0.206154508284915,0.04260813428018076,0.2948138584032709,0.9178082191780822
17,Census Tract 56,0.4192,67500.0,334000.0,34,017,005600,Census Tract 56,0.0,14.0,0.0,4.44756043282251,4,19064.037932652758,0.4345325148166981,3.630959745063408,0.15713960373491231,0.1801411979048053,0.03165565930312002,0.15483870967741936,0.9772403982930299
18,Census Tract 58.01,0.4929,43642.0,283900.0,34,017,005801,Census Tract 58.01,0.0,14.0,6.0,4.0865794020204875,6,12251.45314087583,0.4895050712080837,3.2500617695107685,0.1396536007292616,0.28167730173199634,0.044849589790337284,0.2261490569492767,0.8590635141400093
19,Census Tract 58.02,0.4078,201875.0,517900.0,34,017,005802,Census Tract 58.02,0.0,0.0,61.0,4.696626690927159,1,143.19497219053414,0.389300656216197,3.8822452131344636,0.5944017563117453,0.16300768386388584,0.02305159165751921,0.030167597765363128,0.978343949044586
20,Census Tract 59.01,0.4796,94375.0,279800.0,34,017,005901,Census Tract 59.01,0.0,18.0,0.0,5.16711801780021,2,9764.983022200628,0.37593882074908147,1.9236641420844487,0.3973384030418251,0.2596958174904943,0.045627376425855515,0.11742279832253145,0.8900091659028414
