,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
11,Census Tract 6.04,0.5066,25109.0,131900.0,22,071,000604,Census Tract 6.04,0.0,0.0,11.0,5.213926232699764,4.0,2418.087494302913,0.4625162048760271,1.6880325554033546,0.07660098522167488,0.42142857142857143,0.08226600985221674,0.1891625615763547,0.8334287349742415
12,Census Tract 6.07,0.4247,64306.0,189000.0,22,071,000607,Census Tract 6.07,0.0,0.0,4.0,7.6709759746768835,4.0,1601.2427208381512,0.3919076781374352,3.645522944040899,0.22423529411764706,0.12705882352941175,0.012470588235294117,0.15388235294117647,0.9112426035502958
13,Census Tract 6.11,0.5018,36731.0,120200.0,22,071,000611,Census Tract 6.11,0.0,0.0,1.0,9.564151133121046,3.0,1131.446704893079,0.4500822308271507,1.2965513593483418,0.08999441028507546,0.19871436556735605,0.05058692006707658,0.24762437115707098,0.9019337016574586
14,Census Tract 6.12,0.4313,165956.0,575600.0,22,071,000612,Census Tract 6.12,0.0,0.0,0.0,14.08472088991877,0.0,63.658204591106475,0.3725079864639908,0.0,0.5206727400140154,0.11702873160476523,0.014716187806587245,0.015416958654519973,0.8238095238095238
15,Census Tract 6.15,0.4313,41071.0,167100.0,22,071,000615,Census Tract 6.15,0.0,0.0,6.0,6.9370621516460975,1.0,3505.7525366112977,0.4184766498749047,1.2301899667404594,0.23668639053254437,0.3378698224852071,0.021597633136094675,0.20650887573964496,0.8450024142926122
16,Census Tract 6.16,0.4831,53699.0,205300.0,22,071,000616,Census Tract 6.16,0.0,0.0,2.0,8.305525817358811,9.0,2167.827545557079,0.3856855625600321,2.3816356704192048,0.3249265426052889,0.19147894221351616,0.04995102840352596,0.1885310290652003,0.7451678535096643
17,Census Tract 6.17,0.7188,54205.0,213800.0,22,071,000617,Census Tract 6.17,0.0,0.0,0.0,9.334876097968653,7.0,3314.1825241757474,0.4437086106118976,0.0,0.1798737013648401,0.34650641678549604,0.017315135465471584,0.3110969927996612,0.833922261484099
18,Census Tract 6.18,0.3595,138134.0,265900.0,22,071,000618,Census Tract 6.18,0.0,0.0,8.0,7.7673350191793995,2.0,1200.3390269124336,0.3730855004391492,0.5962201950842748,0.3448344635021939,0.22337455125648184,0.022736338252891904,0.11866773035500598,0.9387153800824986
19,Census Tract 6.19,0.4754,33242.0,181300.0,22,071,000619,Census Tract 6.19,0.0,0.0,6.0,5.169225327673387,10.0,1274.0702852472627,0.4526580964483588,4.3926265881370545,0.1640151515151515,0.19924242424242425,0.007575757575757576,0.3984848484848485,0.809255079006772
21,Census Tract 21,0.4252,51506.0,176800.0,22,019,002100,Census Tract 21,0.0,0.0,0.0,3.751218944454497,14.0,10173.465112343165,0.37781378696741347,0.0,0.12714241196634465,0.22343409161732627,0.017450919289498285,0.19819258335930195,0.7614442295293359
