,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 118,0.523,66964.0,549200.0,06,045,011800,Census Tract 118,0.0,12.0,136.0,0.3485747701873286,4.0,32459.009278819212,0.475900403739158,0.4097665333525519,0.16185286103542235,0.17329700272479565,0.06594005449591281,0.15749318801089918,0.7443850267379679
3,Census Tract 176.03,0.3951,153173.0,984100.0,06,073,017603,Census Tract 176.03,7.0,12.0,95.0,2.318048611145639,54.0,12035.549232272024,0.49181246603812423,1.9763311959402856,0.4663991975927783,0.11501170177198261,0.05249080575058509,0.05249080575058509,0.9027409372236959
5,Census Tract 178.01,0.3887,98168.0,788600.0,06,073,017801,Census Tract 178.01,1.0,14.0,54.0,1.4850356411798185,17.0,32762.36478375162,0.44172142658176433,5.2580110366756525,0.34469967185047795,0.24126123555428736,0.059352261378227994,0.03866457411898987,0.9505415162454873
7,Census Tract 125.02,0.3591,70913.0,462200.0,06,079,012502,Census Tract 125.02,7.0,8.0,42.0,1.5031070153497517,9.0,95622.43721134396,0.4850867665894168,1.9398909297864149,0.14600409836065573,0.23394808743169399,0.013148907103825137,0.0641903457719959,0.9779080252479712
10,Census Tract 126.01,0.3869,85556.0,516200.0,06,079,012601,Census Tract 126.01,0.0,4.0,70.0,3.2800648780123303,22.0,37144.311453190676,0.4915107671936326,1.703127173036427,0.2115992414664981,0.17809734513274336,0.019595448798988623,0.04979384712971773,0.9753492193919474
13,Census Tract 126.02,0.3532,87094.0,572200.0,06,079,012602,Census Tract 126.02,0.0,16.0,72.0,2.994348898821441,22.0,1367.4685814886686,0.4876662583575767,3.3728726142480268,0.29846938775510207,0.10841836734693877,0.0,0.02663115845539281,0.8948220064724919
15,Census Tract 180,0.5014,83864.0,1065100.0,06,073,018000,Census Tract 180,0.0,44.0,198.0,2.2246496635076762,60.0,3743.8744372323554,0.4884209542548476,15.947385371974606,0.5144574864013742,0.3323790438018895,0.03406813627254509,0.059723023658395845,0.7721518987341772
17,Census Tract 105,0.4654,41780.0,270300.0,06,089,010500,Census Tract 105,2.0,42.0,278.0,0.7078913057345985,16.0,4539.337664168094,0.4674001618354871,1.1137588726205427,0.11938622754491018,0.21369760479041916,0.03274700598802395,0.20152612013304638,0.8830645161290323
21,Census Tract 123.01,0.3904,50966.0,161300.0,06,089,012301,Census Tract 123.01,20.0,14.0,140.0,1.231392255089365,117.0,28645.20961750024,0.5022080274866192,1.8889515633879457,0.07050796057619409,0.2137983320697498,0.03373768006065201,0.07695223654283548,0.8697478991596639
24,Census Tract 402,0.3834,45960.0,160800.0,06,035,040200,Census Tract 402,0.0,42.0,163.0,5.821125600170339,27.0,4631.258604351031,0.4605936992234068,0.0,0.12235772357723577,0.14715447154471545,0.016260162601626018,0.14490968801313628,0.4992156862745098
