,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 6002,0.376,96630.0,787700.0,06,081,600200,Census Tract 6002,0.0,28.0,8.0,30.09987128749752,9.0,3934.588606256224,0.4311414083438592,0.0,0.2100558659217877,0.21832402234636872,0.03955307262569832,0.06789155276719695,0.9073327961321515
1,Census Tract 6003,0.3868,142264.0,881900.0,06,081,600300,Census Tract 6003,0.0,30.0,43.0,30.135004419999504,28.0,1878.4240337680062,0.4028384930174092,1.1690635167378853,0.32976653696498054,0.20890077821011674,0.03623540856031129,0.08122568093385214,1.0
2,Census Tract 6004.01,0.4069,117264.0,752000.0,06,081,600401,Census Tract 6004.01,0.0,14.0,10.0,30.767082469155646,5.0,6576.67739996151,0.38539070435496425,4.595363199897227,0.29821480831138425,0.22563652326602282,0.006438396254023998,0.061750073163593794,0.9903169014084507
3,Census Tract 6004.02,0.3886,118427.0,839000.0,06,081,600402,Census Tract 6004.02,0.0,12.0,7.0,30.937135349687892,21.0,12654.542892042109,0.4418780638682005,6.667978419505758,0.20357634112792297,0.24621733149931224,0.014934171742975044,0.053776196124950576,0.9433811802232854
4,Census Tract 6005.01,0.3566,102708.0,768900.0,06,081,600501,Census Tract 6005.01,0.0,8.0,2.0,30.540065289286172,15.0,7433.482694843132,0.5149591928650002,5.556808150526083,0.356270256793817,0.2650211917227624,0.010720518573921716,0.0009972575417601596,0.9855564995751912
6,Census Tract 6005.02,0.3338,128750.0,788900.0,06,081,600502,Census Tract 6005.02,0.0,14.0,19.0,29.916603743252693,5.0,5507.721911774611,0.48934381677084915,1.9628542067129826,0.28375337533753375,0.12038703870387038,0.022502250225022502,0.10306030603060307,0.9716117216117216
7,Census Tract 6006,0.4863,90992.0,784600.0,06,081,600600,Census Tract 6006,0.0,22.0,110.0,30.491068668495497,24.0,7043.110905650416,0.4840683307479821,4.4669243150816165,0.1922082717872969,0.3375184638109306,0.026957163958641065,0.09718100890207715,0.9702786377708978
8,Census Tract 6007.01,0.3824,75573.0,821600.0,06,081,600701,Census Tract 6007.01,0.0,34.0,44.0,31.321329534392884,44.0,9066.657474405505,0.45968339523384016,0.9499341614912348,0.2557992408266554,0.270560944749051,0.04660480809784901,0.08218888654130573,1.0
9,Census Tract 6007.02,0.3125,111167.0,961200.0,06,081,600702,Census Tract 6007.02,0.0,10.0,38.0,31.12263249927649,36.0,8758.755289143397,0.43237830035278735,0.0,0.36768494663231505,0.22745675377254324,0.030916451969083547,0.07839528892160472,0.9340659340659341
11,Census Tract 6008,0.4093,75458.0,1039400.0,06,081,600800,Census Tract 6008,0.0,18.0,79.0,31.168882180377537,10.0,13546.828002797305,0.4265285101900337,5.02959175593821,0.29741863075196406,0.38196782641227084,0.05449557301409153,0.13256016959720662,0.928695652173913
12,Census Tract 6009,0.4532,114886.0,1036800.0,06,081,600900,Census Tract 6009,0.0,14.0,29.0,31.98177655403606,28.0,1804.0228126442569,0.3844831177473933,1.8748926330365885,0.40638606676342526,0.21722302854378325,0.03507498790517658,0.07692307692307693,0.9511691884456671
13,Census Tract 6010,0.3983,93281.0,868400.0,06,081,601000,Census Tract 6010,0.0,52.0,10.0,29.626432665795296,41.0,1876.6436103914502,0.39631265054971193,5.207080657779875,0.2455397253240919,0.27121037094082917,0.024387113335900396,0.05491961414790997,0.9865100087032201
14,Census Tract 6012,0.4064,109833.0,855000.0,06,081,601200,Census Tract 6012,1.0,40.0,73.0,30.399371384049143,29.0,3358.4386894223326,0.4329595684184978,0.0,0.3163249810174639,0.27091875474563404,0.03462414578587699,0.04071636307974897,1.0
15,Census Tract 6013.01,0.3634,78011.0,685200.0,06,081,601301,Census Tract 6013.01,0.0,14.0,116.0,29.711082620851414,37.0,6976.633762229876,0.5133008643446392,0.8041210166605444,0.22800668151447662,0.1920935412026726,0.02338530066815145,0.03745976002341235,0.980650835532102
17,Census Tract 6013.02,0.4118,86495.0,863000.0,06,081,601302,Census Tract 6013.02,0.0,40.0,32.0,29.19277887802447,15.0,8596.407673904885,0.4449865797291961,5.2752208147413535,0.17751130332219384,0.23235698840180855,0.010615293886377039,0.03774326715156281,0.9850958126330731
19,Census Tract 6014,0.4282,87441.0,873900.0,06,081,601400,Census Tract 6014,0.0,50.0,32.0,29.1336668511571,28.0,4759.538538476278,0.43779350932575184,4.627125640998527,0.34590117109397317,0.19265924021708083,0.043701799485861184,0.07419680161360034,0.9327617328519856
20,Census Tract 6015.01,0.3512,121000.0,878500.0,06,081,601501,Census Tract 6015.01,0.0,12.0,10.0,28.74191608467578,7.0,7342.625915008854,0.43330949476977165,2.927465394457085,0.31413911060433297,0.24325351577347015,0.023185100722158875,0.039339857992707734,0.9615124915597569
22,Census Tract 6015.02,0.4171,78050.0,1212200.0,06,081,601502,Census Tract 6015.02,0.0,24.0,11.0,27.877291082338502,3.0,6677.668898590906,0.43813945642281016,1.629797939030061,0.2963302752293578,0.2001834862385321,0.027889908256880733,0.077671792875219,0.9551912568306011
24,Census Tract 6016.01,0.3881,97138.0,268100.0,06,081,601601,Census Tract 6016.01,0.0,24.0,88.0,27.962670549180224,5.0,431.02709593267184,0.43341255918710186,2.2215582744601194,0.26540790879943,0.23975774848592804,0.010331314570716068,0.0420377627360171,0.9233038348082596
25,Census Tract 6016.03,0.4327,110203.0,891500.0,06,081,601603,Census Tract 6016.03,0.0,24.0,12.0,25.86189463468724,16.0,5250.262024003793,0.4075184865967799,1.812739820977646,0.36126329358685144,0.206090879793748,0.007412181759587496,0.09098241651879335,0.9795819154107924
26,Census Tract 6016.04,0.3406,102742.0,519100.0,06,081,601604,Census Tract 6016.04,0.0,24.0,80.0,27.605739950794458,9.0,1759.9583174449408,0.3889634976469735,9.050040139606375,0.44016929588303194,0.33474413235859946,0.021546748749519045,0.027318199307425933,0.9166666666666666
27,Census Tract 6016.05,0.3536,118654.0,881400.0,06,081,601605,Census Tract 6016.05,0.0,8.0,19.0,26.315350227216904,16.0,6206.019463892004,0.4395080922994733,3.4960184166305206,0.3090319276079904,0.16305275738432645,0.014171077343349837,0.04045945482599006,0.9677771709448388
28,Census Tract 6017,0.3443,147292.0,910800.0,06,081,601700,Census Tract 6017,0.0,8.0,7.0,26.477896176394466,5.0,3397.5900248203793,0.4100853596680987,1.1603636418420684,0.2693858193028219,0.14986957552762628,0.016599478302110504,0.06990663155374671,0.9839203675344563
30,Census Tract 6018,0.3814,118783.0,973300.0,06,081,601800,Census Tract 6018,0.0,26.0,8.0,25.40377572980041,7.0,3494.7280357664054,0.39894149053954375,1.2109591122300198,0.27475592747559274,0.2301255230125523,0.003719200371920037,0.06640746500777606,0.9840909090909091
31,Census Tract 6019.01,0.4101,86438.0,969300.0,06,081,601901,Census Tract 6019.01,0.0,10.0,4.0,26.250798152091033,13.0,4528.593356401934,0.4372787269812127,2.681410907808817,0.2619402985074627,0.14502487562189054,0.0057213930348258705,0.07512437810945273,0.9833333333333333
32,Census Tract 6019.02,0.3564,99462.0,648500.0,06,081,601902,Census Tract 6019.02,0.0,34.0,22.0,25.729798994058267,7.0,4363.424221947982,0.42153125924526935,5.090941584199869,0.3669821240799159,0.2311601822642832,0.00858745180511742,0.05800911321416053,0.9510221465076661
33,Census Tract 6020.01,0.3595,91377.0,913600.0,06,081,602001,Census Tract 6020.01,0.0,2.0,8.0,25.5700692580681,25.0,2949.2509804858864,0.42459661629450807,3.7029848161067616,0.2876044568245125,0.19289693593314763,0.027390900649953576,0.06466729147141519,0.8793316831683168
34,Census Tract 6020.02,0.4318,108333.0,887200.0,06,081,602002,Census Tract 6020.02,0.0,10.0,2.0,26.537342027934994,13.0,1804.2736099409658,0.4735484278043113,3.3013977835478494,0.2851494934519397,0.19100568322213984,0.0014825796886582653,0.006671608598962194,1.0
36,Census Tract 6021,0.424,67083.0,889800.0,06,081,602100,Census Tract 6021,1.0,16.0,25.0,25.23700760497532,22.0,7018.969240842968,0.5340756757182431,1.742033108457772,0.11962006530127635,0.2392401306025527,0.020480854853072127,0.10556051144811181,0.9696682464454977
37,Census Tract 6022.01,0.4063,85745.0,1011800.0,06,081,602201,Census Tract 6022.01,0.0,20.0,2.0,25.040720105752875,20.0,10652.07750057082,0.4924349703011789,0.0,0.19656344410876134,0.23527190332326284,0.017560422960725075,0.05664652567975831,0.9645966337782936
39,Census Tract 6022.02,0.3207,76815.0,851500.0,06,081,602202,Census Tract 6022.02,0.0,16.0,60.0,24.586567960151836,21.0,6730.8016015770145,0.5930796231569521,0.0,0.1500848896434635,0.25772495755517827,0.010526315789473684,0.07398402222994095,0.8452830188679246
41,Census Tract 6023,0.4532,111920.0,930300.0,06,081,602300,Census Tract 6023,16.0,102.0,118.0,23.9262500423217,19.0,332.95818799530525,0.44788883127667317,0.20704781967651292,0.19560340960071781,0.2048003589053387,0.028712427097353072,0.14288923837339923,0.9494556765163297
42,Census Tract 6024,0.4478,109007.0,944200.0,06,081,602400,Census Tract 6024,0.0,16.0,34.0,23.96623477566481,12.0,2956.057126046731,0.39303644094017165,7.384705568462294,0.2878637154936583,0.2463317582690873,0.02636160159164387,0.08468042775428998,0.9897959183673469
