,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 33,0.4599,131250.0,743400.0,08,031,003300,Census Tract 33,0.0,20.0,45.0,4.054855231424709,34.0,2025.5148552421356,0.4780998753480801,6.123721793376846,0.6262594458438288,0.24181360201511334,0.023299748110831235,0.05887909319899244,0.9645390070921985
1,Census Tract 35.01,0.3997,60119.0,303000.0,08,031,003501,Census Tract 35.01,0.0,16.0,55.0,4.699391002653813,16.0,9805.842680639236,0.6517424422756487,0.0,0.09570957095709572,0.26552655265526554,0.019201920192019203,0.19865730851388466,0.8571428571428571
2,Census Tract 35.02,0.4348,47248.0,268500.0,08,031,003502,Census Tract 35.02,0.0,2.0,15.0,5.896866766169548,3.0,2699.2732518950384,0.833033365958368,0.0,0.06511123168746609,0.2026587086272382,0.016820401519262073,0.12425393380358112,1.0
3,Census Tract 36.01,0.4761,66364.0,426600.0,08,031,003601,Census Tract 36.01,0.0,30.0,51.0,3.280694822102124,103.0,1960.9158570216318,0.47904032611479075,8.186166332307197,0.2590016366612111,0.3469721767594108,0.02229950900163666,0.23544093178036607,0.9477392836171462
4,Census Tract 36.02,0.425,55262.0,390000.0,08,031,003602,Census Tract 36.02,0.0,42.0,34.0,4.361154665763896,41.0,5093.492825479616,0.506319758883504,7.284072306206696,0.2586750788643533,0.32155625657202946,0.03659305993690852,0.21712343318461866,0.9469652327637006
5,Census Tract 36.03,0.4901,67216.0,491500.0,08,031,003603,Census Tract 36.03,0.0,40.0,18.0,3.82873423003348,73.0,3519.4490914206553,0.38276480036746685,3.655794835872423,0.44971428571428573,0.33171428571428574,0.014285714285714285,0.11,0.9502982107355865
6,Census Tract 37.01,0.5323,78994.0,592200.0,08,031,003701,Census Tract 37.01,0.0,58.0,142.0,3.6502430591617916,33.0,2354.3581522993973,0.47276784042587605,9.679685304342383,0.6519797558797261,0.3959511759452218,0.009824352485858886,0.07127362875735978,0.886375062845651
7,Census Tract 37.03,0.5002,57527.0,606000.0,08,031,003703,Census Tract 37.03,0.0,28.0,34.0,4.231924963247855,24.0,1461.6596923122943,0.4296543533893235,6.367157486080459,0.540655737704918,0.30295081967213117,0.021639344262295083,0.1580327868852459,0.912528216704289
8,Census Tract 38.01,0.5755,85500.0,718800.0,08,031,003801,Census Tract 38.01,4.0,36.0,126.0,4.490025712788969,20.0,10152.452929089468,0.46448180038396986,9.966895416357762,0.5989486703772418,0.22263450834879406,0.04452690166975881,0.03432282003710575,0.8796812749003984
10,Census Tract 38.02,0.4571,172778.0,919000.0,08,031,003802,Census Tract 38.02,0.0,30.0,12.0,5.07278750813838,28.0,1278.6214536434227,0.44928821797488633,4.859524753404353,0.7170654746252958,0.1540888772022088,0.034446489613463055,0.03786484354457008,0.8573943661971831
12,Census Tract 39.01,0.4983,113098.0,847900.0,08,031,003901,Census Tract 39.01,1.0,30.0,84.0,5.819709989325356,11.0,6945.3072777964335,0.4501946671549933,4.348649857154557,0.6439070649596965,0.1600284495021337,0.005926979611190137,0.034139402560455195,0.8062271062271062
13,Census Tract 39.02,0.4568,138750.0,681900.0,08,031,003902,Census Tract 39.02,2.0,12.0,39.0,7.188371582836596,18.0,40.42324856409608,0.45660819771559563,1.2397680881360056,0.5379095910069361,0.18536235350394642,0.03181057163358048,0.06557776694295465,0.9421866056096165
14,Census Tract 40.02,0.4404,131354.0,724600.0,08,031,004002,Census Tract 40.02,0.0,26.0,39.0,10.183580298397658,5.0,1326.06872307105,0.4788350143895654,3.5925594657384137,0.530635508691935,0.11171273867198632,0.0,0.028783129096608722,0.9502196193265008
15,Census Tract 40.03,0.3739,95893.0,398400.0,08,031,004003,Census Tract 40.03,0.0,58.0,71.0,10.926604108457695,19.0,3771.860584581819,0.4639274575757068,9.483247235587891,0.41000823723228996,0.15877265238879737,0.02656507413509061,0.02944810543657331,0.973644952759821
16,Census Tract 40.04,0.5061,78000.0,459600.0,08,031,004004,Census Tract 40.04,0.0,34.0,51.0,12.514776781065395,0.0,782.0447006725566,0.4693516972609889,4.214983601116805,0.46363160648874935,0.22448979591836735,0.013082155939298797,0.0723649711588883,1.0
17,Census Tract 40.05,0.446,61151.0,445000.0,08,031,004005,Census Tract 40.05,1.0,2.0,34.0,8.038809274403054,10.0,1331.1214426273389,0.4332337185169904,5.305388650256267,0.44519704433497537,0.41502463054187194,0.025554187192118227,0.1671875,0.9003810560696788
18,Census Tract 40.06,0.6141,63654.0,837700.0,08,031,004006,Census Tract 40.06,0.0,16.0,34.0,8.901725692225387,29.0,4497.051469002224,0.4334747738103959,2.7611841996292945,0.4802537343973808,0.24186617556783302,0.019439328831594025,0.1519711742263671,0.8877005347593583
19,Census Tract 41.01,0.4448,53830.0,361700.0,08,031,004101,Census Tract 41.01,0.0,28.0,41.0,6.171100845414232,30.0,3657.0363098574735,0.39710517964160247,5.385986687493937,0.24717391304347827,0.2728260869565217,0.036304347826086956,0.2068230277185501,0.9683136412459721
20,Census Tract 41.02,0.5265,62500.0,390100.0,08,031,004102,Census Tract 41.02,5.0,14.0,42.0,7.46562094035543,22.0,16752.083198323417,0.4303407393942607,3.960385432448543,0.167172100075815,0.31785443517816525,0.05288097043214556,0.18862850557049557,0.9846378931967813
21,Census Tract 41.03,0.4125,137904.0,574100.0,08,031,004103,Census Tract 41.03,0.0,18.0,27.0,5.3816501399437575,36.0,31880.635038110904,0.36968234309971015,4.661281742769588,0.43150475022984985,0.18326693227091634,0.012871590560833588,0.031566043518234756,0.9743249225320938
22,Census Tract 41.04,0.3827,115295.0,426400.0,08,031,004104,Census Tract 41.04,0.0,24.0,19.0,6.939163680963459,31.0,2013.456736233933,0.37094029220126656,6.1950721486188245,0.44375724777734826,0.2406262079628914,0.02512562814070352,0.07073830691921144,0.994300518134715
23,Census Tract 41.08,0.353,153833.0,599200.0,08,031,004108,Census Tract 41.08,0.0,10.0,27.0,10.094498627365478,17.0,4050.750110804831,0.4228777848436909,6.715354902359069,0.5049013025379347,0.10769437357325097,0.013428226131328052,0.021753726332751442,0.9853777416734363
24,Census Tract 41.09,0.2907,126400.0,634800.0,08,031,004109,Census Tract 41.09,0.0,0.0,8.0,11.688595495951072,21.0,1056.1484421692126,0.449915633978813,4.455035490482171,0.5668604651162791,0.18313953488372092,0.0,0.023255813953488372,1.0
25,Census Tract 41.10,0.399,141875.0,652600.0,08,031,004110,Census Tract 41.10,0.0,10.0,40.0,11.174051160584119,9.0,19739.998758723283,0.4382854056456338,4.99219908836596,0.3250357069985717,0.250765149969394,0.01754743929810243,0.07106598984771574,1.0
26,Census Tract 41.11,0.377,161081.0,638800.0,08,031,004111,Census Tract 41.11,3.0,14.0,110.0,9.994640260251334,15.0,2860.9635399950266,0.4299975021755997,6.595535417623204,0.5006031363088058,0.14802688264690678,0.004135791831811132,0.010687812446129978,0.9646753246753247
27,Census Tract 41.12,0.4967,90931.0,554800.0,08,031,004112,Census Tract 41.12,0.0,20.0,50.0,8.34361355153435,22.0,6003.191332069142,0.4120060421073454,1.8367810924101509,0.5016474464579901,0.18649093904448105,0.011202635914332784,0.04415156507413509,0.9188686267212505
28,Census Tract 41.13,0.3841,136875.0,564300.0,08,031,004113,Census Tract 41.13,2.0,20.0,60.0,8.769078482826348,7.0,330.5848820159696,0.44522857215226014,1.8646013062085436,0.4007430997876858,0.2340764331210191,0.014331210191082803,0.04171428571428572,1.0
29,Census Tract 42.01,0.4821,139432.0,759600.0,08,031,004201,Census Tract 42.01,0.0,30.0,24.0,5.251118990897683,23.0,23826.429322084256,0.4401231404577355,11.13652108924931,0.532617671345995,0.1166391412056152,0.02126341866226259,0.046482672753683334,0.9749869723814487
30,Census Tract 42.02,0.4825,126949.0,620800.0,08,031,004202,Census Tract 42.02,2.0,32.0,86.0,6.83914646820478,16.0,2066.432151947913,0.4196911265294768,3.726462278773698,0.48741664874166485,0.20262422026242202,0.03140460314046031,0.06760295167817186,0.9593939393939394
31,Census Tract 43.02,0.4755,93456.0,595400.0,08,031,004302,Census Tract 43.02,0.0,16.0,8.0,5.8626330771970565,15.0,5882.100878048067,0.4856546380145253,6.398714409459849,0.455838570956004,0.2262652993714853,0.007608336089976844,0.04366523321204102,0.980246913580247
32,Census Tract 43.03,0.4983,193542.0,1108800.0,08,031,004303,Census Tract 43.03,0.0,38.0,39.0,6.074767331324262,8.0,1656.4590621852665,0.44447527282605437,6.918461428701947,0.5825630776917312,0.11266550087434424,0.01748688483637272,0.02523107669248064,0.9591426657736102
33,Census Tract 43.06,0.5231,119211.0,700200.0,08,031,004306,Census Tract 43.06,0.0,42.0,22.0,7.482420569561189,12.0,8417.011984605364,0.42998890617270763,5.947992422847062,0.5340150250417363,0.17967445742904842,0.052587646076794656,0.06816720257234726,0.9163568773234201
34,Census Tract 43.07,0.4224,52097.0,531800.0,08,031,004307,Census Tract 43.07,0.0,6.0,10.0,5.029139683557264,13.0,607.9848284929617,0.47303932955936734,5.555783161319763,0.3294956140350877,0.4232456140350877,0.005482456140350877,0.05866228070175439,0.9381443298969072
35,Census Tract 43.08,0.4216,60021.0,465600.0,08,031,004308,Census Tract 43.08,0.0,28.0,39.0,5.2065088506131945,24.0,3607.557891109193,0.4309371862082874,9.223546160344297,0.5424251774143782,0.28108608454180806,0.005553841406973156,0.0851063829787234,0.8414346389806513
36,Census Tract 32.05,0.5478,63523.0,441500.0,08,031,003205,Census Tract 32.05,0.0,10.0,11.0,2.5018616925624344,32.0,1409.3236636565234,0.46894019927751646,33.8002913368297,0.6109741060419236,0.35234278668310726,0.04593094944512947,0.14210850801479655,0.9777251184834124
37,Census Tract 43.09,0.4142,89311.0,443400.0,08,031,004309,Census Tract 43.09,0.0,24.0,48.0,6.59922975293541,16.0,3151.5618071434465,0.48645346999409717,14.947180292282205,0.4795566502463054,0.28423645320197044,0.031280788177339904,0.05024630541871921,0.9784550709406201
38,Census Tract 43.10,0.3536,127706.0,547300.0,08,031,004310,Census Tract 43.10,0.0,30.0,45.0,7.392286778751455,5.0,382.1927040199106,0.4543895431621343,0.0,0.6215235792019347,0.20515920999596937,0.01007658202337767,0.015719467956469165,1.0
39,Census Tract 44.03,0.3567,71468.0,335400.0,08,031,004403,Census Tract 44.03,0.0,26.0,39.0,8.386587965636462,29.0,4498.646038503807,0.4466764808559938,1.354545508223493,0.34159654309756654,0.34591767113941324,0.040482146918353425,0.06299749829429156,0.9287833827893175
41,Census Tract 44.07,0.4888,84456.0,528600.0,08,031,004407,Census Tract 44.07,0.0,54.0,73.0,9.721219357849119,4.0,2530.6762194754056,0.4462749747167718,8.001536972443441,0.45806824754193176,0.2976672450356661,0.06072874493927125,0.10578416149068323,0.9370888157894737
42,Census Tract 45.03,0.4459,40663.0,222800.0,08,031,004503,Census Tract 45.03,0.0,22.0,4.0,6.770800739506697,3.0,1207.2160981605348,0.7708513556744628,1.4977797890179256,0.061813186813186816,0.16660125588697017,0.009811616954474097,0.30141843971631205,0.9728539985326485
43,Census Tract 45.04,0.3969,51083.0,276100.0,08,031,004504,Census Tract 45.04,0.0,12.0,4.0,6.257797572897407,11.0,6299.093824230256,0.7512847984958231,0.0,0.036824696802646086,0.19867695700110252,0.01962513781697905,0.32767364939360527,0.9585028478437754
44,Census Tract 45.05,0.4553,34000.0,212100.0,08,031,004505,Census Tract 45.05,0.0,16.0,19.0,5.430003379153639,10.0,5003.822233857432,0.7286455763519983,1.425182565285665,0.041273584905660375,0.2144261006289308,0.007861635220125786,0.2503930817610063,0.9555555555555556
45,Census Tract 46.01,0.383,69877.0,305500.0,08,031,004601,Census Tract 46.01,0.0,8.0,10.0,7.739296279687473,12.0,12530.352463289028,0.5856646358872047,2.823940058047237,0.09121278140885984,0.1998547567175018,0.00813362381989833,0.1394335511982571,0.9654992158912703
47,Census Tract 46.02,0.4246,41911.0,285100.0,08,031,004602,Census Tract 46.02,0.0,0.0,17.0,7.0942146517477696,11.0,3683.4141458306767,0.5551671315279915,4.174373942466238,0.08782185107863605,0.22379958246346554,0.008211551844119694,0.24928571428571428,0.9695977549111319
49,Census Tract 46.03,0.3627,63772.0,288100.0,08,031,004603,Census Tract 46.03,0.0,2.0,9.0,8.55162118073064,4.0,2873.0081951973607,0.5604164058846949,2.5295423355824926,0.16465131687924467,0.21086632433327812,0.057975815802550935,0.08759124087591241,0.9930107526881721
51,Census Tract 47,0.4112,74831.0,379600.0,08,031,004700,Census Tract 47,0.0,10.0,8.0,9.115127823843492,10.0,3765.423738935037,0.52731081048654,2.501173797662986,0.23235452586206898,0.24420797413793102,0.013335129310344827,0.11157695428725994,0.9483443708609272
52,Census Tract 48.01,0.4355,82716.0,359400.0,08,031,004801,Census Tract 48.01,0.0,2.0,15.0,10.578216353555488,5.0,2994.0185950375085,0.5287142495989103,1.7540264517173783,0.21254901960784314,0.17673202614379085,0.014901960784313726,0.016209150326797386,0.9744224422442245
53,Census Tract 50.01,0.376,80893.0,365000.0,08,031,005001,Census Tract 50.01,0.0,50.0,59.0,8.082639176167003,7.0,3500.999902543536,0.36957029036236955,2.928417725424703,0.3869384673461684,0.28576821442053607,0.01245753114382786,0.09799196787148594,0.9340659340659341
54,Census Tract 50.03,0.5712,49192.0,613800.0,08,031,005003,Census Tract 50.03,0.0,14.0,11.0,8.535757123029295,1.0,1137.3008970671622,0.4426578386435292,3.6385652972286366,0.4690366972477064,0.17163608562691132,0.033256880733944956,0.1532874617737003,0.9271255060728745
55,Census Tract 50.04,0.415,45823.0,237700.0,08,031,005004,Census Tract 50.04,0.0,30.0,87.0,9.284780891410783,10.0,11954.461405210192,0.370282932328447,2.2397568537314214,0.3168062916737904,0.27389297315780475,0.040348777568815185,0.13791331163268802,0.9674728940783986
56,Census Tract 51.02,0.3568,102875.0,453400.0,08,031,005102,Census Tract 51.02,0.0,10.0,38.0,8.598779674005419,12.0,2895.7981517892345,0.48105586157453495,12.560205101317381,0.49625468164794007,0.2675227394328518,0.01792402354200107,0.024879614767255216,0.9335748792270532
57,Census Tract 51.04,0.4885,55287.0,371700.0,08,031,005104,Census Tract 51.04,1.0,10.0,19.0,8.381671418481414,14.0,722.1824179205321,0.4360115684681923,3.6385652972286366,0.3262916772715704,0.316110969712395,0.028505981165691016,0.16063596491228072,0.9358226371061844
58,Census Tract 52,0.3893,90278.0,445700.0,08,031,005200,Census Tract 52,0.0,24.0,58.0,9.467956247128702,9.0,3158.2059924756895,0.4590900003059298,4.195855436626304,0.5281361515234697,0.2555586055448806,0.02113642602250892,0.0872906944825693,0.967930029154519
59,Census Tract 53,0.4524,61471.0,434000.0,08,031,005300,Census Tract 53,0.0,34.0,110.0,9.377213834663479,15.0,195.1296140762531,0.3954022683158357,5.367664092652052,0.3859138533178114,0.3265424912689173,0.057625145518044235,0.09195402298850575,0.9393548387096774
61,Census Tract 55.02,0.3196,79545.0,376900.0,08,031,005502,Census Tract 55.02,0.0,12.0,9.0,11.893288597896953,1.0,1332.0019419763155,0.4863003486510095,0.6857936530604284,0.15204678362573099,0.25633528265107214,0.017543859649122806,0.14191220685508119,0.9545454545454546
63,Census Tract 55.03,0.404,90625.0,378800.0,08,031,005503,Census Tract 55.03,0.0,0.0,6.0,13.156804527677803,2.0,2541.598353822811,0.4407754905360432,1.4116588657506313,0.2521310854328471,0.1879143777230536,0.013070657321462398,0.1493493882307244,0.9888169511477339
64,Census Tract 68.04,0.3564,92568.0,471800.0,08,031,006804,Census Tract 68.04,6.0,50.0,159.0,15.370704703184238,2.0,15028.18531490946,0.4496273867759007,7.821957871858088,0.5915906127770535,0.35528031290743156,0.024119947848761408,0.03226857887874837,0.8842666666666666
65,Census Tract 68.10,0.456,56991.0,321900.0,08,031,006810,Census Tract 68.10,0.0,44.0,65.0,14.222301550159573,13.0,7275.987675251651,0.4204209182225597,4.243709402217456,0.32304038004750596,0.2156769596199525,0.005700712589073635,0.10673000791765637,0.9587053571428571
