,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 1001.01,0.3373,51442.0,104300.0,48,439,100101,Census Tract 1001.01,0.0,0.0,13.0,12.0,2411.5338346161307,0.6161689307174896,2.002013334720006,0.048582995951417005,0.20570657412762675,0.013688066319645267,0.08174281858492385,0.8633369923161361
1,Census Tract 1001.02,0.4476,60472.0,170600.0,48,439,100102,Census Tract 1001.02,0.0,0.0,21.0,16.0,1736.241803890048,0.5607730556995609,3.4968752838894983,0.1962079250106519,0.25969322539412015,0.02449936088623775,0.1975415139098555,0.9640651319483436
2,Census Tract 1002.01,0.3826,37446.0,81900.0,48,439,100201,Census Tract 1002.01,0.0,0.0,17.0,2.0,2512.0269297970144,0.8144453083251341,0.0,0.016975308641975308,0.26253858024691357,0.006944444444444444,0.2800925925925926,0.9410511363636364
3,Census Tract 1002.02,0.3995,44347.0,87900.0,48,439,100202,Census Tract 1002.02,5.0,0.0,126.0,2.0,3688.3047177425233,0.90743140288596,0.0,0.020059582919563057,0.23257199602780537,0.040119165839126114,0.19254534582419772,0.9240677966101695
4,Census Tract 1003,0.4514,39934.0,110100.0,48,439,100300,Census Tract 1003,3.0,0.0,28.0,10.0,3035.0995171438913,0.6751507449603551,0.0,0.049106424086298506,0.20672999516985993,0.059249718241829015,0.21126527915427817,0.9556892778993435
5,Census Tract 1004.01,0.3939,44353.0,131800.0,48,439,100401,Census Tract 1004.01,0.0,0.0,2.0,1.0,467.08754548222663,0.6872340198028272,0.0,0.022629310344827586,0.16002155172413793,0.05549568965517242,0.3270474137931034,0.9441441441441442
6,Census Tract 1004.02,0.4212,37917.0,79000.0,48,439,100402,Census Tract 1004.02,0.0,0.0,9.0,12.0,2197.2769221654626,0.9700965084684312,1.3987501135557994,0.023632160287695863,0.22090932442846134,0.0331363986642692,0.26123811970202926,0.8631498470948012
7,Census Tract 1005.03,0.3593,61593.0,92600.0,48,439,100503,Census Tract 1005.03,0.0,0.0,3.0,0.0,1217.873002725766,0.8055527975563642,4.967439741215357,0.10568031704095113,0.2592470277410832,0.0,0.06380075059706584,0.9341517857142857
8,Census Tract 1005.04,0.3731,46672.0,95300.0,48,439,100504,Census Tract 1005.04,0.0,0.0,3.0,4.0,2776.965380968318,0.7293131428388732,0.0,0.022558139534883722,0.18093023255813953,0.023023255813953487,0.3337255824899977,0.8725071225071225
9,Census Tract 1005.05,0.3503,43594.0,144800.0,48,439,100505,Census Tract 1005.05,0.0,0.0,2.0,0.0,3422.80317993925,0.5285469244132045,0.0,0.021042830540037243,0.31135940409683427,0.04115456238361266,0.2106145251396648,0.9208523592085236
10,Census Tract 1005.06,0.3137,55684.0,95800.0,48,439,100506,Census Tract 1005.06,0.0,0.0,11.0,1.0,1290.662805511647,0.709973516969274,0.0,0.03771224307417337,0.23663985701519213,0.013404825737265416,0.16890080428954424,0.9703470031545741
11,Census Tract 1008,0.3601,48239.0,87100.0,48,439,100800,Census Tract 1008,0.0,0.0,15.0,11.0,3043.2866886092493,0.882672747949706,1.4806196718834739,0.02630668051228799,0.19989615784008308,0.04915195569401177,0.26457789382071367,0.93929173693086
12,Census Tract 1009,0.4003,30357.0,81400.0,48,439,100900,Census Tract 1009,0.0,0.0,16.0,16.0,980.7645038386971,0.8200537095523573,0.0,0.031295137217140105,0.31343283582089554,0.07173808377467501,0.32113625421280695,0.8365508365508365
13,Census Tract 1012.02,0.339,57510.0,98300.0,48,439,101202,Census Tract 1012.02,0.0,0.0,27.0,13.0,6125.853977366035,0.6797709150379535,0.4082890097947903,0.06472778861500265,0.229118638056393,0.03546728143287817,0.1471892179464444,0.9095622119815668
14,Census Tract 1013.01,0.4288,61887.0,113900.0,48,439,101301,Census Tract 1013.01,0.0,0.0,5.0,12.0,833.7314513900353,0.40690936159033675,0.6941080019396517,0.15285451197053407,0.19357479025987312,0.03130755064456722,0.1632903621853898,0.9007744433688286
15,Census Tract 1014.01,0.4555,52356.0,131300.0,48,439,101401,Census Tract 1014.01,0.0,0.0,2.0,6.0,9887.383506952538,0.47181386141496184,2.6603446792058736,0.1537320810677212,0.23364639973636514,0.014829461196243203,0.14186851211072665,0.9294478527607362
16,Census Tract 1014.02,0.4015,44563.0,92200.0,48,439,101402,Census Tract 1014.02,0.0,12.0,16.0,1.0,1796.4366263910922,0.6298835364223972,3.961193032457306,0.024032959487296866,0.3076218814373999,0.05149919890135042,0.18448157473105975,0.914033798677443
17,Census Tract 1014.03,0.4026,39750.0,103800.0,48,439,101403,Census Tract 1014.03,0.0,0.0,7.0,1.0,2700.4381968827456,0.5156354503386846,0.6548365419744878,0.03495044340114763,0.23926273691531907,0.056685793774995656,0.32134713208209087,0.8263473053892215
18,Census Tract 1015,0.4891,44396.0,117200.0,48,439,101500,Census Tract 1015,1.0,0.0,20.0,6.0,1347.2766348434252,0.467281044623293,0.4100963253311053,0.2282166559623207,0.18004709912224362,0.023335474202526227,0.2068888888888889,0.8955223880597015
19,Census Tract 1017,0.4867,26554.0,96900.0,48,439,101700,Census Tract 1017,0.0,0.0,9.0,3.0,453.1736918811711,0.4709144787796473,5.003712120038282,0.04007858546168959,0.1807465618860511,0.06404715127701376,0.608141447368421,0.6772334293948127
20,Census Tract 1020,0.5792,75227.0,529800.0,48,439,102000,Census Tract 1020,2.0,4.0,172.0,41.0,1833.4007904156758,0.42821034923002793,2.3170696678226053,0.6003231887961218,0.5523835173713978,0.01077295987072448,0.1656342580123889,0.8573355817875211
21,Census Tract 1021.01,0.3459,107841.0,437800.0,48,439,102101,Census Tract 1021.01,0.0,0.0,23.0,21.0,1601.8682078272727,0.4768312361913154,1.7600852650221013,0.6989752348420154,0.28693424423569597,0.010247651579846286,0.033304867634500426,0.8493524199045671
22,Census Tract 1021.02,0.5372,67161.0,243500.0,48,439,102102,Census Tract 1021.02,0.0,0.0,11.0,10.0,342.7444797198592,0.4442050824102032,0.0,0.29800457965325483,0.26921818776578343,0.0,0.09589490968801313,0.8696418085731062
23,Census Tract 1022.01,0.5737,84537.0,387900.0,48,439,102201,Census Tract 1022.01,0.0,0.0,10.0,9.0,2325.665002119604,0.48744977780647103,9.272554183601999,0.4182381813484888,0.17566520278997674,0.008524928958925343,0.10967072854550168,0.9184652278177458
24,Census Tract 1022.02,0.5387,100033.0,535000.0,48,439,102202,Census Tract 1022.02,0.0,0.0,16.0,19.0,711.3546288202282,0.46893796697210677,9.966895416357762,0.6305019305019305,0.17027027027027028,0.011196911196911196,0.038996138996139,0.8956574185765983
25,Census Tract 1023.01,0.3761,37146.0,153900.0,48,439,102301,Census Tract 1023.01,4.0,0.0,57.0,7.0,2277.130347712732,0.4818656323549702,3.6719718121010763,0.06520501138952164,0.21042141230068337,0.00968109339407745,0.10279043280182232,0.8505402160864346
26,Census Tract 1024.01,0.4994,61157.0,272300.0,48,439,102401,Census Tract 1024.01,0.0,0.0,55.0,16.0,1810.673766804172,0.42532254296139066,1.4708506348731087,0.37064734751110073,0.3157279738256602,0.021734050011684974,0.09511568123393316,0.8923076923076924
27,Census Tract 1024.02,0.4782,120053.0,364200.0,48,439,102402,Census Tract 1024.02,0.0,0.0,23.0,4.0,547.993839203281,0.44454837436110844,3.0558467812590835,0.47342995169082125,0.2068092937658155,0.009431792040487693,0.08442604094778008,0.9392647842301545
28,Census Tract 1025,0.5313,32733.0,85400.0,48,439,102500,Census Tract 1025,0.0,0.0,21.0,5.0,833.3515074612973,0.44943324183820504,0.0,0.06964184195565662,0.2450255827174531,0.03524729960204662,0.2197271176805003,0.8021778584392014
