,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 301,0.3857,66058.0,458700.0,15,009,030100,Census Tract 301,7.0,2.0,179.0,201.89479381814442,75.0,2990.5215532614684,0.3420418512704704,3.790197558150801,0.14625360230547552,0.2413544668587896,0.06772334293948126,0.1346578366445916,0.62
1,Census Tract 302.01,0.4653,48508.0,790900.0,15,009,030201,Census Tract 302.01,0.0,0.0,8.0,183.50482985254988,25.0,94.54526965015653,0.41118401910238855,4.216090767810034,0.1983993260320135,0.2325189553496209,0.051390058972198824,0.09978858350951374,0.8423423423423423
2,Census Tract 302.03,0.402,94825.0,870000.0,15,009,030203,Census Tract 302.03,0.0,2.0,20.0,175.40578399970815,50.0,5420.067384022339,0.361444522012272,3.294656797772356,0.3081525804038893,0.2181500872600349,0.015208177511842433,0.12408390194591863,0.8574097135740971
3,Census Tract 302.04,0.3643,84982.0,884900.0,15,009,030204,Census Tract 302.04,0.0,2.0,6.0,174.92764153689464,49.0,28.717216748714275,0.40646751463687214,1.6675141606205182,0.22911478378990266,0.1501018791034639,0.030110935023771792,0.05484545665814548,0.9068038879359634
4,Census Tract 303.04,0.4171,102500.0,812500.0,15,009,030304,Census Tract 303.04,0.0,34.0,22.0,176.9589536427658,3.0,55883.79450693474,0.3354291632586931,2.138376972162643,0.15065693430656935,0.19766423357664234,0.04291970802919708,0.0835036496350365,0.9047619047619048
5,Census Tract 303.05,0.5152,77156.0,1091500.0,15,009,030305,Census Tract 303.05,0.0,18.0,79.0,188.8570569831866,18.0,166.3800338217339,0.3642464932698264,8.70350384780145,0.3640063705538843,0.07892408423287914,0.01663422403114493,0.11597025495750708,0.9035631293570875
6,Census Tract 303.06,0.5276,70373.0,1538700.0,15,009,030306,Census Tract 303.06,0.0,0.0,0.0,174.8896961033351,26.0,126.57360365798006,0.4235120760727878,0.8185456774681098,0.32639852057327784,0.2020342117429496,0.036061026352288486,0.1276005547850208,0.8549051937345424
7,Census Tract 303.07,0.5834,139722.0,1575800.0,15,009,030307,Census Tract 303.07,17.0,8.0,150.0,178.60644177115282,646.0,5.395491550507888,0.42088036805268436,8.728816860366566,0.5174385363064609,0.00686106346483705,0.045740423098913664,0.0714694110920526,0.2710755813953488
8,Census Tract 304.03,0.3761,99543.0,616500.0,15,009,030403,Census Tract 304.03,0.0,8.0,7.0,180.7940473460517,14.0,2032.0229605045915,0.33719775623045933,2.34999933881887,0.21943811693242218,0.13034674765882054,0.010124019235636548,0.05264490002531005,0.9583921015514809
9,Census Tract 304.04,0.4801,72564.0,659400.0,15,009,030404,Census Tract 304.04,0.0,6.0,44.0,174.08453056958027,11.0,1685.5455842613126,0.35355578261606163,7.0209395001570565,0.20518184744126167,0.17251367878982943,0.011908593498551657,0.1143282594308405,0.9612109744560076
10,Census Tract 304.05,0.2815,134205.0,740700.0,15,009,030405,Census Tract 304.05,0.0,2.0,6.0,177.9340986481724,1.0,14504.54907721348,0.3371807363332548,12.818734194311908,0.16794625719769674,0.30806142034548945,0.059021113243762,0.02111324376199616,0.9059945504087193
11,Census Tract 304.06,0.4038,100966.0,695100.0,15,009,030406,Census Tract 304.06,0.0,6.0,13.0,176.1816831449623,7.0,981.194508502296,0.3458210742296885,1.3863065773927101,0.28704460055546477,0.21336382943963406,0.005881391929423297,0.10553831073354027,0.9365595770638471
12,Census Tract 305.01,0.4086,101563.0,737100.0,15,009,030501,Census Tract 305.01,3.0,12.0,78.0,169.35809927860623,90.0,10837.926933413373,0.3535205194226496,1.9458880466815538,0.20656455142231947,0.18818380743982493,0.05601750547045952,0.11816192560175055,0.7588105726872246
13,Census Tract 307.05,0.3665,100583.0,626900.0,15,009,030705,Census Tract 307.05,0.0,0.0,14.0,168.4543329215907,21.0,3252.231084088425,0.34792557976900296,1.6836660197723312,0.1404564315352697,0.195850622406639,0.04066390041493776,0.02301736765013601,0.8481481481481481
14,Census Tract 307.06,0.4363,72894.0,473200.0,15,009,030706,Census Tract 307.06,0.0,4.0,14.0,166.56209554996195,196.0,6024.23366922712,0.3779516137808581,3.206700341245427,0.21449170872386444,0.2555875991348234,0.015861571737563085,0.13771802325581395,0.7765709852598914
15,Census Tract 307.08,0.3749,99907.0,630700.0,15,009,030708,Census Tract 307.08,0.0,8.0,76.0,171.10590129917776,88.0,23225.597335909773,0.34704534225834727,2.3834711688325525,0.21717506631299735,0.09681697612732096,0.019230769230769232,0.11766666666666667,0.8281938325991189
16,Census Tract 307.09,0.4527,69271.0,797000.0,15,009,030709,Census Tract 307.09,4.0,14.0,163.0,172.49803746199248,1163.0,1731.6474379888075,0.4045176004468325,8.597776309485134,0.30298313878080413,0.1543450064850843,0.03164721141374838,0.1304798962386511,0.4856439704675964
17,Census Tract 307.10,0.3698,63142.0,729900.0,15,009,030710,Census Tract 307.10,8.0,8.0,17.0,173.65217287995108,861.0,1825.1455254160176,0.40899113419268196,11.393874894242135,0.3505030181086519,0.13802816901408452,0.014084507042253521,0.11363636363636363,0.4159153273226186
