,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 1997,0.5201,38892.0,599600.0,06,037,199700,Census Tract 1997,0.0,12.0,15.0,5.0,9371.104252705229,0.5960494487520217,23.392270932434453,0.2358616101131071,0.3306719893546241,0.017298735861610112,0.25083166999334666,0.9593625498007968
1,Census Tract 1998.01,0.425,41027.0,474300.0,06,037,199801,Census Tract 1998.01,0.0,0.0,2.0,1.0,4764.82386128568,0.63527292802306,0.871016554228886,0.04339414040906578,0.2042564953012714,0.0406301824212272,0.21890547263681592,0.9435736677115988
2,Census Tract 1998.02,0.3808,42500.0,587800.0,06,037,199802,Census Tract 1998.02,0.0,0.0,9.0,1.0,1953.166827083998,0.5300834829947244,8.0504271671062,0.10830921868540719,0.1781727986771393,0.03224472922695329,0.13291666666666666,0.9637795275590552
3,Census Tract 1999,0.4706,37232.0,492700.0,06,037,199900,Census Tract 1999,0.0,30.0,7.0,0.0,6121.590480431977,0.7366466993000486,1.7346202016132708,0.08150353554149609,0.2694454782285076,0.059173799776702646,0.16747301823595087,0.9430803571428571
4,Census Tract 2011.10,0.454,65000.0,621500.0,06,037,201110,Census Tract 2011.10,0.0,2.0,2.0,3.0,3378.8684161497295,0.6212935465151657,14.490743002265633,0.21788470267816615,0.21107580571947346,0.012256014525646845,0.129822968679074,0.9265402843601895
5,Census Tract 2011.20,0.4212,78750.0,611100.0,06,037,201120,Census Tract 2011.20,1.0,12.0,12.0,14.0,3922.8764509042508,0.6903956328631903,4.912013825927021,0.18179569626514963,0.31511254019292606,0.0707395498392283,0.09423695275785308,0.9187779433681073
6,Census Tract 2013.01,0.4424,66658.0,615100.0,06,037,201301,Census Tract 2013.01,0.0,24.0,4.0,14.0,7949.090741193034,0.7033541233124173,8.361499044947113,0.14416266849440257,0.2864976010966415,0.05391820881882568,0.2321303841676368,0.9841409691629956
7,Census Tract 2013.02,0.4225,102654.0,494200.0,06,037,201302,Census Tract 2013.02,0.0,0.0,7.0,12.0,11277.186239411662,0.39273732222484237,21.382678712967163,0.5062396986107841,0.24746880150694608,0.00871203202260419,0.10702498821310702,0.9452463912394226
8,Census Tract 2015.01,0.3884,69153.0,568800.0,06,037,201501,Census Tract 2015.01,4.0,6.0,5.0,3.0,651.5004187566103,0.7216795192459199,3.327747415255345,0.1433453237410072,0.25611510791366904,0.044064748201438846,0.16851481548809308,0.9083382613837966
9,Census Tract 2015.03,0.4059,50344.0,487900.0,06,037,201503,Census Tract 2015.03,0.0,4.0,0.0,1.0,3441.985035964126,0.7982490747605496,2.4599480037142336,0.1003003003003003,0.22552552552552552,0.02822822822822823,0.22634116937914406,0.9752616555661275
10,Census Tract 2015.04,0.4564,59167.0,557500.0,06,037,201504,Census Tract 2015.04,0.0,0.0,0.0,2.0,5342.35126532666,0.6674781694100613,0.9024879281330116,0.10646211064621107,0.22733612273361228,0.03765690376569038,0.1724301279014685,0.9922480620155039
11,Census Tract 2016.01,0.4695,47465.0,492700.0,06,037,201601,Census Tract 2016.01,1.0,8.0,4.0,4.0,8665.585933133978,0.6484736709842022,3.702852365608108,0.13047034764826176,0.2278118609406953,0.10715746421267894,0.2331288343558282,0.9681122448979592
13,Census Tract 2016.02,0.4081,65625.0,540900.0,06,037,201602,Census Tract 2016.02,0.0,6.0,2.0,4.0,3950.7286709336645,0.7602614190923529,3.3195093434781646,0.11814203971726692,0.21238640188488725,0.058229552339279705,0.1286727456940223,0.9707317073170731
15,Census Tract 2031,0.441,39329.0,572600.0,06,037,203100,Census Tract 2031,0.0,12.0,6.0,1.0,4689.871941051585,0.8969863325021307,3.0019686822493235,0.01950162513542795,0.2,0.033369447453954496,0.2208017334777898,0.9629629629629629
16,Census Tract 2032,0.4631,57031.0,456400.0,06,037,203200,Census Tract 2032,0.0,18.0,1.0,6.0,679.3225802901707,0.8966718396315004,4.540292852541824,0.10069259456579649,0.23086485526549458,0.032321079737169245,0.26412049488972567,0.9553508150248051
17,Census Tract 2033,0.4067,41250.0,532600.0,06,037,203300,Census Tract 2033,0.0,64.0,11.0,0.0,2298.469694339843,0.671214559117473,0.0,0.07582938388625593,0.2711953659820958,0.030015797788309637,0.2178988326848249,0.9291845493562232
18,Census Tract 2035,0.5182,40524.0,506400.0,06,037,203500,Census Tract 2035,0.0,36.0,2.0,2.0,7739.553444225639,0.6403397804229982,4.113511773682513,0.21091024421186172,0.20139549635267998,0.024104027909927054,0.33703939008894535,0.9074930619796485
19,Census Tract 2036.01,0.3607,50345.0,297400.0,06,037,203601,Census Tract 2036.01,1.0,6.0,1.0,2.0,4256.707800428888,0.9925776914380359,3.681314360361996,0.09242269792728508,0.28100577641862046,0.03397893306150187,0.16028955532574973,0.9514450867052023
20,Census Tract 2036.02,0.3686,53333.0,579700.0,06,037,203602,Census Tract 2036.02,0.0,2.0,2.0,21.0,2886.5433306039668,0.8631242958146145,6.6488630207151616,0.07261078483715963,0.2375867592098238,0.009610250934329953,0.2781633742658836,0.9504273504273504
21,Census Tract 2037.10,0.3823,60978.0,527300.0,06,037,203710,Census Tract 2037.10,0.0,6.0,2.0,15.0,887.527195611047,0.9611804633936577,3.3911511595049326,0.03712871287128713,0.22964796479647964,0.02035203520352035,0.13950923628342984,0.939150401836969
22,Census Tract 2037.20,0.3889,48684.0,579100.0,06,037,203720,Census Tract 2037.20,1.0,8.0,6.0,6.0,5036.7946491129815,0.9666316389594983,0.8440828562516262,0.09491778774289986,0.23492775286497258,0.01669157947184853,0.23492775286497258,0.947267497603068
23,Census Tract 2038,0.4627,45000.0,405600.0,06,037,203800,Census Tract 2038,0.0,4.0,0.0,6.0,4726.975061556595,0.9502557963145034,2.6973010233218875,0.05246720799500312,0.31480324797001874,0.022069539870914014,0.3179262960649594,0.9852140077821012
24,Census Tract 2039,0.4253,59479.0,493300.0,06,037,203900,Census Tract 2039,0.0,8.0,1.0,3.0,2789.3547506337377,0.919335793621845,2.8326195830278715,0.06674984404242046,0.24422956955708047,0.024017467248908297,0.1942351785129381,0.9618008185538881
25,Census Tract 2041.10,0.3947,59067.0,446800.0,06,037,204110,Census Tract 2041.10,0.0,14.0,0.0,2.0,603.1091346995507,0.9147929259915675,3.8626255279133166,0.09075293444030919,0.2427712567993129,0.04380188949327226,0.18350987689665044,0.9319429198682766
26,Census Tract 2041.20,0.358,60441.0,448600.0,06,037,204120,Census Tract 2041.20,0.0,4.0,0.0,3.0,1701.5011408127996,0.8659654468650049,0.5559680133375868,0.059487179487179485,0.18188034188034188,0.041025641025641026,0.10153846153846154,1.0
27,Census Tract 2042,0.4361,38919.0,428900.0,06,037,204200,Census Tract 2042,1.0,10.0,2.0,3.0,9355.98137605447,0.9363159708205718,1.9435906581966877,0.0392156862745098,0.26539629936481635,0.031206848936757802,0.3452085059375863,0.927699530516432
28,Census Tract 2043,0.4178,51359.0,476900.0,06,037,204300,Census Tract 2043,0.0,14.0,26.0,0.0,4962.216037927838,0.9228786986302338,1.1033882291552584,0.04060203010150507,0.23101155057752887,0.032026601330066504,0.22773333333333334,0.9596888260254597
29,Census Tract 2044.10,0.3986,63214.0,463400.0,06,037,204410,Census Tract 2044.10,0.0,8.0,3.0,1.0,8602.754194594134,0.9247666272657412,2.795855606166795,0.034396273737011825,0.21426012182013615,0.019706198495163023,0.2777576853526221,0.9681159420289855
30,Census Tract 2044.20,0.4534,32993.0,440000.0,06,037,204420,Census Tract 2044.20,1.0,14.0,6.0,9.0,13148.901070504602,0.8336389221064426,3.993073372031669,0.044730599796679094,0.2341579125720095,0.030498136225008472,0.30279291553133514,0.8762575452716298
31,Census Tract 2046,0.4825,33587.0,381300.0,06,037,204600,Census Tract 2046,0.0,6.0,1.0,4.0,8315.957990477324,0.8517997343529765,15.271894140367953,0.08241629594942636,0.23975649730742216,0.05221259658159681,0.23156169515335986,0.9703138252756573
32,Census Tract 2047,0.4261,59735.0,466900.0,06,037,204700,Census Tract 2047,0.0,6.0,7.0,2.0,3119.668215787628,0.9339708016594198,2.6376104073706768,0.04399293286219081,0.2765017667844523,0.045936395759717315,0.20810280207031948,0.9574303405572755
33,Census Tract 2048.10,0.3825,46964.0,468100.0,06,037,204810,Census Tract 2048.10,1.0,8.0,1.0,2.0,560.971377741632,0.9215080106421258,1.802103215645971,0.06806176351076798,0.16659894351889476,0.029662738724095895,0.20824867939861844,0.9580265095729014
34,Census Tract 2048.20,0.3883,49375.0,424200.0,06,037,204820,Census Tract 2048.20,0.0,10.0,0.0,1.0,1775.2056720452092,0.8738812791643739,0.9808367357534135,0.04110228865016347,0.25221858944418496,0.009341429238673517,0.20270901447921533,0.9022687609075044
35,Census Tract 2049.10,0.4737,40313.0,549700.0,06,037,204910,Census Tract 2049.10,0.0,0.0,0.0,0.0,2315.4907536059445,0.914972628987441,5.3039900889168505,0.05838580423583286,0.20749856897538638,0.04035489410417859,0.27361190612478536,0.9897750511247444
36,Census Tract 2049.20,0.3953,59345.0,463500.0,06,037,204920,Census Tract 2049.20,0.0,0.0,0.0,1.0,1951.1125186317265,0.9612913556573,2.83577885186118,0.05114449213161659,0.19062947067238914,0.031473533619456366,0.20815450643776823,0.9434229137199435
38,Census Tract 2051.20,0.4516,29804.0,440000.0,06,037,205120,Census Tract 2051.20,0.0,24.0,15.0,0.0,9785.824326682756,0.9570197915227925,3.5107616636951895,0.02850293020777837,0.23335109216835376,0.05993606819392648,0.419286094832179,0.9812568908489526
39,Census Tract 2060.10,0.5117,41395.0,661800.0,06,037,206010,Census Tract 2060.10,0.0,40.0,18.0,6.0,19645.173645850868,0.5287149105762663,8.389770593281913,0.17801311144730206,0.23524962178517397,0.07665153807362582,0.29551185073121533,0.9799585348997927
41,Census Tract 2060.50,0.5799,35795.0,400000.0,06,037,206050,Census Tract 2060.50,0.0,12.0,6.0,3.0,2482.014246974309,0.745706406902935,12.595928849103705,0.09124087591240876,0.2271897810218978,0.04425182481751825,0.24686192468619247,0.9557625145518044
42,Census Tract 2060.51,0.3648,119453.0,828900.0,06,037,206051,Census Tract 2060.51,1.0,70.0,104.0,39.0,3381.322442410458,0.43463810236621014,35.43825811331624,0.6206405693950178,0.4192170818505338,0.03558718861209965,0.08327402135231317,0.8324175824175825
43,Census Tract 2060.52,0.4902,99241.0,584900.0,06,037,206052,Census Tract 2060.52,0.0,30.0,47.0,53.0,2932.233289912926,0.38334789359639254,27.671043457703448,0.6420274551214361,0.6180922210489265,0.032382963745160157,0.14607532558958114,0.7665424044734389
44,Census Tract 2060.53,0.5521,28693.0,591000.0,06,037,206053,Census Tract 2060.53,0.0,2.0,11.0,4.0,3708.3075577015147,0.6324215154736329,20.424786920367232,0.13702720637027208,0.2276045122760451,0.026211015262110154,0.31191117092866755,0.984375
45,Census Tract 2060.54,0.3957,39647.0,564100.0,06,037,206054,Census Tract 2060.54,0.0,4.0,0.0,10.0,4404.926497310149,0.6684190356383504,0.0,0.09347238315952106,0.23947470065662418,0.02549246813441483,0.30116279069767443,1.0
46,Census Tract 2062.01,0.5313,38786.0,456300.0,06,037,206201,Census Tract 2062.01,1.0,12.0,40.0,24.0,2366.181065040068,0.3654496808655747,1.7124935919532178,0.35979572887650885,0.31197771587743733,0.09006499535747446,0.32404828226555243,0.8838203848895224
47,Census Tract 2062.02,0.676,12344.0,425000.0,06,037,206202,Census Tract 2062.02,4.0,20.0,168.0,13.0,2673.858809503588,0.3672343430469202,14.782013023560191,0.34454756380510443,0.1502320185614849,0.03538283062645012,0.5148342059336823,0.9606109324758842
51,Census Tract 2071.01,0.4339,51544.0,438900.0,06,037,207101,Census Tract 2071.01,0.0,16.0,19.0,50.0,748.0858720055886,0.37641934624883927,26.272644550806486,0.34639016897081415,0.3968253968253968,0.03456221198156682,0.22196620583717358,0.9063475546305931
52,Census Tract 2071.02,0.5339,30564.0,489500.0,06,037,207102,Census Tract 2071.02,1.0,50.0,86.0,15.0,7008.807656272217,0.442671937285154,10.874068881604881,0.17195850361521534,0.2571518390443257,0.0524992140836215,0.34140207481923923,0.9774330042313117
53,Census Tract 2071.03,0.5551,33487.0,587000.0,06,037,207103,Census Tract 2071.03,1.0,32.0,85.0,1.0,6508.762984713138,0.44402720368983095,4.848338002130402,0.28638059701492535,0.24113805970149255,0.06389925373134328,0.27798507462686567,0.9767687434002112
57,Census Tract 2073.06,0.5933,38305.0,641800.0,06,037,207306,Census Tract 2073.06,4.0,18.0,72.0,41.0,20049.723409466882,0.38087836494125193,29.3876934157039,0.5512614063338701,0.38593666129898013,0.045625335480407946,0.271461716937355,0.7556179775280899
61,Census Tract 2075.01,0.5464,71628.0,662000.0,06,037,207501,Census Tract 2075.01,0.0,10.0,11.0,14.0,1345.4511373707653,0.3944830280055713,14.789505573845574,0.6038443506797937,0.426629160806376,0.049695264885138306,0.18330989217065166,0.7863554757630161
63,Census Tract 2077.11,0.4599,121477.0,900900.0,06,037,207711,Census Tract 2077.11,14.0,36.0,182.0,61.0,2237.7218460579898,0.38823755232866364,34.82355658089486,0.6146899458157736,0.3720650210716436,0.036122817579771226,0.10415412402167369,0.7107636800962117
64,Census Tract 2077.12,0.529,77213.0,758600.0,06,037,207712,Census Tract 2077.12,10.0,86.0,185.0,90.0,1867.076836315902,0.367369193663781,21.832176732289874,0.5647160565004324,0.508215624099164,0.025079273565869125,0.2967573827446439,0.8472082915412905
65,Census Tract 2079.01,0.5832,68333.0,589800.0,06,037,207901,Census Tract 2079.01,1.0,28.0,15.0,45.0,1041.9262723478525,0.4068269311754664,15.026786934216842,0.5151045701006971,0.42370255615801705,0.03679318357862122,0.2405112316034082,0.824235807860262
66,Census Tract 2079.02,0.4294,106206.0,862500.0,06,037,207902,Census Tract 2079.02,4.0,110.0,88.0,140.0,3726.879547659174,0.3936855352058605,27.308769746042262,0.5577793247476506,0.5530804037591368,0.05290636964845109,0.16998950682056663,0.873738680465718
68,Census Tract 2080.02,0.5255,37443.0,687500.0,06,037,208002,Census Tract 2080.02,2.0,12.0,15.0,16.0,15613.938781410843,0.7804090343844674,9.882078724342271,0.11768292682926829,0.25650406504065043,0.04451219512195122,0.31626016260162604,1.0
70,Census Tract 2083.02,0.4502,45194.0,776000.0,06,037,208302,Census Tract 2083.02,0.0,16.0,15.0,19.0,15255.131426066573,0.6188401254245491,6.7531553548053544,0.15004748338081672,0.2942070275403609,0.03627730294396961,0.2831908831908832,0.97911227154047
71,Census Tract 2084.01,0.4096,44943.0,710200.0,06,037,208401,Census Tract 2084.01,0.0,12.0,4.0,4.0,9037.96452929862,0.5952441612415036,7.265501281642887,0.12167135743667461,0.3331890019484737,0.05802121671357437,0.24739583333333334,1.0
72,Census Tract 2084.02,0.4694,50446.0,697600.0,06,037,208402,Census Tract 2084.02,0.0,26.0,4.0,12.0,6643.318318017989,0.6055399192155212,11.231529251898793,0.18035534696614147,0.2581293999329534,0.023466309084813945,0.19086571233810498,0.9654775604142692
73,Census Tract 2085.01,0.4133,62750.0,831300.0,06,037,208501,Census Tract 2085.01,1.0,10.0,5.0,9.0,3885.9684249304055,0.4831670822099464,11.002314369206982,0.2875710804224208,0.2579203899268887,0.03777416734362307,0.14012997562956944,0.9029622063329928
75,Census Tract 2086.10,0.3842,58125.0,781800.0,06,037,208610,Census Tract 2086.10,0.0,12.0,1.0,8.0,206.30891212401573,0.5256357136406856,6.208005050777132,0.22379216043755698,0.28076572470373745,0.046718322698268006,0.16019195612431444,0.9442743417023882
76,Census Tract 2086.20,0.4464,52391.0,664600.0,06,037,208620,Census Tract 2086.20,0.0,18.0,7.0,9.0,7454.631525483444,0.4701775501274337,9.693024689084101,0.25610039507320476,0.30885428770625145,0.04485242853822914,0.21608391608391608,0.9336384439359268
77,Census Tract 2087.10,0.389,58788.0,402900.0,06,037,208710,Census Tract 2087.10,0.0,4.0,0.0,11.0,7913.024708139139,0.4630090015065442,7.463977818777891,0.4182242990654206,0.2589563862928349,0.04575545171339564,0.08742211838006231,0.9374167776298269
85,Census Tract 1204,0.3767,103109.0,613000.0,06,087,120400,Census Tract 1204,0.0,2.0,3.0,2.0,14851.142975934874,0.45957633241116175,11.111566322639526,0.30410632810950206,0.13707597698869273,0.062090854989089464,0.07439000198373338,0.9149226569608735
