,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 190.04,0.3331,44001.0,135000.0,47,037,019004,Census Tract 190.04,0.0,0.0,18.0,12.607577195078482,16.0,808.7444680439004,0.41299215745642953,4.6329037134303706,0.12125279642058165,0.26733780760626397,0.03154362416107383,0.24595323741007194,0.9883495145631068
1,Census Tract 190.07,0.3794,48485.0,225900.0,47,037,019007,Census Tract 190.07,0.0,2.0,45.0,10.464853975427761,4.0,802.1927457125927,0.4897814820838417,5.703339353857448,0.12534435261707988,0.18767217630853994,0.001721763085399449,0.06955922865013774,0.8858536585365854
2,Census Tract 190.08,0.4172,50512.0,173500.0,47,037,019008,Census Tract 190.08,0.0,0.0,7.0,10.92301253256377,6.0,2155.5906081570674,0.40127472514652796,2.4537622801479717,0.08159866777685262,0.2586178184845962,0.02164862614487927,0.19766860949208992,0.9251606978879706
3,Census Tract 191.05,0.5472,48271.0,255000.0,47,037,019105,Census Tract 191.05,0.0,0.0,38.0,14.062681819823256,12.0,1044.315814629289,0.40831576819411364,1.9128319822913264,0.17592430348694585,0.30383739267566146,0.04520763974066935,0.24556161012480224,0.8850387280880554
4,Census Tract 191.06,0.3538,65323.0,236800.0,47,037,019106,Census Tract 191.06,0.0,0.0,19.0,14.376586788551144,4.0,2267.580128018001,0.38561327162976117,11.22318680210471,0.407979704797048,0.40613468634686345,0.015682656826568265,0.12749651648862054,0.9100096246390761
5,Census Tract 191.08,0.4026,34893.0,205300.0,47,037,019108,Census Tract 191.08,0.0,0.0,17.0,13.503837597018128,2.0,927.5867951012541,0.5171995315987581,0.0,0.09056929269695227,0.29298447383553766,0.044565842438182866,0.31824733352551166,0.9477786438035853
6,Census Tract 191.09,0.2994,57039.0,167600.0,47,037,019109,Census Tract 191.09,0.0,0.0,3.0,14.791320692617669,6.0,3730.3925163971758,0.40222917373330164,2.3989862722405757,0.09519356648587993,0.1780437628576772,0.03048438376659809,0.14120067327473348,0.9348591549295775
7,Census Tract 191.10,0.3229,55553.0,151300.0,47,037,019110,Census Tract 191.10,0.0,0.0,12.0,14.760252900452773,3.0,782.6009607633811,0.40825076385923426,1.0259914930373204,0.17036625971143174,0.24944506104328523,0.04605993340732519,0.12042175360710322,0.9544
8,Census Tract 191.11,0.3901,47700.0,173200.0,47,037,019111,Census Tract 191.11,0.0,0.0,16.0,16.186212716048825,5.0,551.7167780465758,0.3990632431082737,1.3894868677706618,0.1586426299045599,0.33043478260869563,0.012937433722163308,0.11436511329628046,0.8943323727185398
9,Census Tract 191.12,0.3084,69821.0,222800.0,47,037,019112,Census Tract 191.12,0.0,0.0,7.0,16.817251151259644,3.0,5954.359521619149,0.39361910708950637,3.739348674501719,0.28226610811889086,0.2433672451625773,0.034310791940953524,0.08136745301879249,0.9417773237997957
10,Census Tract 191.15,0.3387,121094.0,386600.0,47,037,019115,Census Tract 191.15,0.0,0.0,18.0,18.214789051491294,6.0,1578.0433608519907,0.4278216987391344,8.154019590716887,0.47527997814804696,0.16416279704998635,0.01993990712919967,0.08385686970773013,0.915844838921762
11,Census Tract 191.16,0.4292,77293.0,323800.0,47,037,019116,Census Tract 191.16,0.0,0.0,25.0,15.96437493841854,12.0,259.60362246945897,0.3902995743997455,10.121380804987112,0.3534611723106215,0.30558955528355775,0.04474364205086359,0.10767531750414136,0.9295593438404631
12,Census Tract 191.17,0.3449,91602.0,258700.0,47,037,019117,Census Tract 191.17,0.0,0.0,7.0,20.62134070184886,7.0,2478.0086708757367,0.37033523466730967,12.015362288246687,0.23296903460837887,0.2495446265938069,0.032058287795992714,0.13296903460837886,0.9902298850574712
13,Census Tract 191.18,0.3854,56881.0,210700.0,47,037,019118,Census Tract 191.18,0.0,0.0,16.0,17.717539139484487,5.0,2777.9715837713848,0.38074480978784847,7.665928488558884,0.24004975124378108,0.4111584932480455,0.019722814498933903,0.14593044101828612,0.8741573033707866
14,Census Tract 191.19,0.3012,104307.0,356900.0,47,037,019119,Census Tract 191.19,0.0,0.0,53.0,22.532433707557054,5.0,3057.1443814610584,0.4130741197770466,4.371094104861872,0.3863083985957332,0.2736970024304618,0.04550364569268161,0.03079832500337701,0.9340151765094028
15,Census Tract 191.20,0.3267,84365.0,316500.0,47,037,019120,Census Tract 191.20,0.0,0.0,2.0,18.611983178355228,4.0,1160.8267733514547,0.40289284793594293,8.76982421038673,0.43469737809360454,0.25508453810340603,0.008086253369272238,0.0215633423180593,0.9375835934016942
16,Census Tract 191.21,0.4215,110233.0,313200.0,47,037,019121,Census Tract 191.21,0.0,0.0,0.0,17.813057377480053,6.0,67.78631168133452,0.399247822005781,3.8476944871276038,0.38560130897191164,0.2574311426233979,0.0,0.1265892758430072,0.9147920927062031
17,Census Tract 192,0.5317,64760.0,439000.0,47,037,019200,Census Tract 192,0.0,2.0,37.0,2.981827053060091,179.0,1326.7275590044853,0.36574656306172465,10.668664303276888,0.34362834155203736,0.2974305735790293,0.027251492343628343,0.20816008316008316,0.8781512605042017
18,Census Tract 193,0.621,18387.0,537000.0,47,037,019300,Census Tract 193,4.0,0.0,28.0,1.4838308146885126,49.0,1279.6605566851192,0.3873291205433365,2.683832046326026,0.1292166952544311,0.2198399085191538,0.05546026300743282,0.6129125651418645,0.9232599643069601
19,Census Tract 194.01,0.5013,52571.0,321800.0,47,037,019401,Census Tract 194.01,0.0,2.0,40.0,0.7356984534904155,282.0,1122.003593499392,0.36480998563297906,8.842891874361833,0.4523300555793074,0.3946130825138948,0.01838392475416845,0.3783668234288157,0.6825557809330629
20,Census Tract 194.02,0.4029,92939.0,458800.0,47,037,019402,Census Tract 194.02,0.0,0.0,40.0,1.5952543069448584,111.0,3646.8933120538654,0.44182927057655913,13.89274176167429,0.7115768463073853,0.622255489021956,0.013972055888223553,0.08957085828343313,0.8212983223924143
21,Census Tract 195.01,0.5417,70231.0,329500.0,47,037,019501,Census Tract 195.01,15.0,2.0,140.0,1.9437729195341578,108.0,23.64165634114908,0.4488056707360064,16.275873707328127,0.7239607659971976,0.6240074731433909,0.0,0.22606258757589912,0.7420957542908763
22,Census Tract 195.02,0.4384,66982.0,423500.0,47,037,019502,Census Tract 195.02,15.0,14.0,83.0,1.6625897619124745,561.0,807.6445247510079,0.4332808182235108,13.706107012351696,0.5441412520064205,0.5685393258426966,0.051364365971107544,0.14895666131621188,0.66972196761381
23,Census Tract 195.03,0.4777,85335.0,336800.0,47,037,019503,Census Tract 195.03,25.0,108.0,271.0,0.9729693136666107,288.0,657.0692686542315,0.42531967222116823,15.808715472773825,0.5236602052451539,0.47434435575826683,0.00028506271379703536,0.1291920731707317,0.594184967522425
24,Census Tract 196,0.3833,60951.0,223600.0,47,037,019600,Census Tract 196,0.0,62.0,12.0,5.8558023991201225,25.0,1744.7348193400328,0.4150359397759492,5.253779936206861,0.21290491118077326,0.3550156739811912,0.0109717868338558,0.11468129571577848,0.8634431455897981
30,Census Tract 101.03,0.3801,71964.0,189700.0,47,065,010103,Census Tract 101.03,0.0,0.0,3.0,21.179778442935405,7.0,726.2345876386644,0.4921350589004135,4.871543221114674,0.15457643622200584,0.14313534566699124,0.022882181110029213,0.032673267326732675,0.9167173252279636
32,Census Tract 101.04,0.4017,64667.0,223600.0,47,065,010104,Census Tract 101.04,1.0,0.0,29.0,16.65851998703552,19.0,1751.0671725873426,0.4895331957378312,0.0,0.11475409836065574,0.1449795081967213,0.01767418032786885,0.1521119461000259,0.838150289017341
34,Census Tract 105.01,0.4598,54336.0,158500.0,47,065,010501,Census Tract 105.01,0.0,0.0,13.0,16.186046393539478,12.0,798.2493441568183,0.4461036762234367,2.04516221763875,0.28125516102394715,0.24739884393063583,0.008422791081750619,0.06226259289843105,0.9237963283685486
36,Census Tract 105.02,0.6109,66325.0,215300.0,47,065,010502,Census Tract 105.02,0.0,0.0,9.0,15.398927131352492,22.0,1896.255297548931,0.45200636646289727,8.142752050955322,0.37432995830851695,0.21351995235259083,0.016081000595592615,0.11280214861235452,0.8678466076696165
38,Census Tract 109.01,0.429,54815.0,190900.0,47,065,010901,Census Tract 109.01,0.0,0.0,2.0,11.037063446817092,12.0,287.66409002902645,0.4317086976900753,7.520527809844094,0.399903984637542,0.5026404224675948,0.023523763802208355,0.14636591478696742,0.8937644341801386
40,Census Tract 109.04,0.4788,60710.0,305800.0,47,065,010904,Census Tract 109.04,0.0,0.0,0.0,7.40227711634175,9.0,1936.0101855848452,0.39420066458364333,0.7316539055522643,0.2857653791130186,0.43168812589413447,0.0,0.19526849417949682,0.9435897435897436
42,Census Tract 110.01,0.3941,61023.0,182600.0,47,065,011001,Census Tract 110.01,0.0,0.0,10.0,6.4643228329975555,30.0,178.0806255956409,0.4883809581589112,3.196641682709525,0.12987569652807543,0.11230175739391342,0.012430347192456065,0.1270718232044199,0.8683314415437003
