,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 406,0.3984,84330.0,186500.0,36,011,040600,Census Tract 406,0.0,8.0,7.0,24.125797898749255,11.0,15243.637698714267,0.4807215830695828,3.0633948951336576,0.2538235294117647,0.16441176470588234,0.02088235294117647,0.05068672334859385,0.9102099927588704
4,Census Tract 408,0.3991,64811.0,147100.0,36,011,040800,Census Tract 408,0.0,2.0,0.0,24.088801891438045,5.0,37688.425938233486,0.43619504355820826,2.4846142199331887,0.12382176520994002,0.18830334190231363,0.008997429305912597,0.09908915263593707,0.6818384649709951
8,Census Tract 409,0.4266,66711.0,142700.0,36,011,040900,Census Tract 409,0.0,20.0,16.0,21.509100195270225,3.0,3147.866201401296,0.4947646569829899,0.6572347133899555,0.13738799891392886,0.13005701873472714,0.017648655986967146,0.1579950967038954,0.8239954725523486
12,Census Tract 414,0.4025,43265.0,96800.0,36,011,041400,Census Tract 414,0.0,6.0,10.0,25.75789350377693,3.0,9034.56352927285,0.47532449718640585,0.33173482045826713,0.20034028073160356,0.2507443641003828,0.017439387494683115,0.14578833693304535,0.8657943925233644
16,Census Tract 421,0.4463,22390.0,83700.0,36,011,042100,Census Tract 421,0.0,10.0,4.0,22.38921329326978,1.0,16886.89709213069,0.37726096972229406,1.0571466477674238,0.07225433526011561,0.309971098265896,0.014932562620423893,0.35400083787180564,0.8707865168539326
19,Census Tract 301,0.5173,25222.0,70300.0,36,013,030100,Census Tract 301,0.0,0.0,1.0,21.302195556325923,0.0,25820.285731938508,0.47185136846609016,1.3719566080341905,0.08844621513944223,0.1750332005312085,0.03559096945551129,0.37220771685523646,0.8963230861965039
23,Census Tract 303,0.4748,31908.0,31800.0,36,013,030300,Census Tract 303,0.0,2.0,26.0,19.814387562521336,10.0,12099.472458298533,0.43001005199858466,0.0,0.12995245641838352,0.20338087691494983,0.029582673005810883,0.34460887949260044,0.7645478961504029
28,Census Tract 306,0.4701,32058.0,54300.0,36,013,030600,Census Tract 306,4.0,24.0,10.0,19.585412377357343,25.0,2613.6632221414875,0.4810928290923249,1.0083338078309332,0.10472686102462496,0.22587036512878572,0.0362298330031135,0.2740398498411782,0.9360248447204969
32,Census Tract 307,0.4041,52648.0,71000.0,36,013,030700,Census Tract 307,0.0,2.0,16.0,20.093253969353064,2.0,48939.59164203818,0.4702844753260763,1.4272960342406116,0.13651794374393791,0.19859359844810864,0.029582929194956354,0.15106692531522795,0.8520573277854832
35,Census Tract 353,0.419,62708.0,133100.0,36,013,035300,Census Tract 353,0.0,10.0,21.0,12.793009024792218,3.0,16363.182414787314,0.4928206636562967,1.9766211081004648,0.14437869822485208,0.1794871794871795,0.00631163708086785,0.05564387917329094,0.95326278659612
37,Census Tract 354,0.4384,30625.0,59900.0,36,013,035400,Census Tract 354,0.0,14.0,40.0,14.577055092858497,0.0,7057.282969823894,0.4535097825671596,1.8198024436567797,0.05290806754221388,0.22439024390243903,0.03414634146341464,0.34371482176360224,0.9336661911554922
