,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 93,0.5239,40262.0,259900.0,34,013,009300,Census Tract 93,0.0,0.0,0.0,3.392759207665389,2.0,9340.492521396985,0.5664446994337241,2.6825572181363446,0.10333462582396277,0.23187281892206282,0.014734393175649476,0.18844513377278016,0.9093421779988944
2,Census Tract 95,0.4339,57224.0,337900.0,34,013,009500,Census Tract 95,0.0,0.0,2.0,4.292984199863695,6.0,10286.355518816023,0.5486732662964287,12.414941836294076,0.17373769962897243,0.20535570253266655,0.057912566542990804,0.10896596858638743,0.9290322580645162
3,Census Tract 96,0.4332,34696.0,334600.0,34,013,009600,Census Tract 96,0.0,0.0,0.0,4.421790407699759,11.0,4400.91094630287,0.602450989888148,1.5016827982401222,0.10553601184965747,0.24699129790779487,0.05073134604702833,0.329938900203666,0.9193548387096774
4,Census Tract 97,0.4445,34939.0,224200.0,34,013,009700,Census Tract 97,0.0,0.0,1.0,4.771556216061471,6.0,12165.685703537945,0.7260130176375755,1.1450442342110074,0.07028753993610223,0.23522364217252395,0.046924920127795526,0.3196884984025559,0.8976968398500268
5,Census Tract 1,0.377,37725.0,150800.0,34,001,000100,Census Tract 1,0.0,0.0,8.0,5.221147062985514,6.0,2283.9739432469214,0.41110818607281324,0.0,0.09457579972183588,0.2095503013444599,0.11219286045433473,0.3713490959666203,0.8331562167906482
8,Census Tract 4,0.5635,34207.0,104300.0,34,001,000400,Census Tract 4,0.0,0.0,0.0,4.373244387343467,3.0,17786.371581929958,0.4457699125933959,1.248884029960535,0.12334801762114538,0.2687224669603524,0.054122089364380115,0.34036523929471035,0.6139575971731449
15,Census Tract 230,0.5445,9868.0,184400.0,34,013,023000,Census Tract 230,0.0,0.0,0.0,1.827373396094677,10.0,7622.098167165731,0.4721272555334834,0.0,0.07265569076592698,0.11095204008589836,0.06335003579098067,0.5384036144578314,0.8791484032561052
16,Census Tract 231,0.3723,51729.0,322800.0,34,013,023100,Census Tract 231,0.0,0.0,6.0,2.8320922183093376,3.0,5127.276550727004,0.4481799084693259,0.7974095214771492,0.08374183006535947,0.24591503267973855,0.04330065359477124,0.18293683347005743,0.8748696558915537
18,Census Tract 232,0.4956,22416.0,283900.0,34,013,023200,Census Tract 232,0.0,0.0,4.0,2.628076881614571,12.0,6753.876137177172,0.49135922443621105,0.0,0.04949095022624434,0.26838235294117646,0.06702488687782805,0.398,0.8886915334517466
25,Census Tract 6,0.4499,59862.0,389800.0,34,017,000600,Census Tract 6,0.0,0.0,0.0,3.843925238400594,2.0,15599.233374755586,0.4111145937446555,4.252280388134583,0.25827944346462867,0.2606310013717421,0.02802273172643543,0.11346266901822458,0.9205328433624254
28,Census Tract 8,0.3996,79500.0,452700.0,34,017,000800,Census Tract 8,0.0,0.0,2.0,3.0061800102723795,38.0,8473.562326025616,0.442373303696882,20.368803271253142,0.41942468295700586,0.392514692236313,0.040828951438292606,0.18311166099597898,0.9116945107398569
31,Census Tract 10,0.3859,64044.0,461000.0,34,017,001000,Census Tract 10,0.0,0.0,22.0,1.5559955036332986,24.0,3803.8282318915753,0.43268493861524915,3.2633236867038318,0.39046199701937406,0.2896174863387978,0.01639344262295082,0.08693492300049677,0.9217948717948717
34,Census Tract 18,0.5134,34038.0,419100.0,34,017,001800,Census Tract 18,0.0,0.0,1.0,2.8170124664703553,10.0,5422.707460724263,0.39804924322341334,8.078740934208893,0.3568012752391073,0.37300743889479276,0.02948990435706695,0.24867162592986186,0.9520725388601037
37,Census Tract 45,0.4768,49743.0,237100.0,34,017,004500,Census Tract 45,0.0,0.0,8.0,5.16104612382886,7.0,9469.16200346082,0.46641769315913356,0.9281323938504523,0.1334054054054054,0.21816216216216217,0.057297297297297295,0.2864864864864865,0.9196374622356496
39,Census Tract 46,0.4766,49103.0,298400.0,34,017,004600,Census Tract 46,0.0,0.0,3.0,4.742693630049667,23.0,6472.267295127733,0.593281708880412,3.003948027849069,0.13343799058084774,0.2880690737833595,0.014913657770800628,0.1597331240188383,0.8927477017364658
42,Census Tract 54,0.4222,90278.0,361800.0,34,017,005400,Census Tract 54,0.0,0.0,0.0,3.198855477751548,8.0,21085.848865030108,0.37915864536179616,2.867026991730801,0.4169477803265416,0.12292538119012279,0.011199568209418432,0.07874762808349146,0.9729555698647778
44,Census Tract 17,0.5964,24167.0,85300.0,34,021,001700,Census Tract 17,0.0,0.0,6.0,2.6672721476931165,2.0,10567.986592714768,0.484645823911075,0.0,0.11015547469401257,0.21931855772411513,0.03506450545815415,0.3112801852464439,0.7524390243902439
46,Census Tract 22.02,0.4276,48899.0,234200.0,34,013,002202,Census Tract 22.02,0.0,0.0,0.0,5.680381637934755,4.0,8441.14414728355,0.49554219911248704,5.672953509506773,0.12831737346101232,0.2533515731874145,0.14035567715458278,0.07502738225629792,0.9274261603375528
