,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 4028.01,0.3695,45756.0,357500.0,06,037,402801,Census Tract 4028.01,1.0,30.0,134.0,7.0,928.4452064462548,0.8565176943400439,0.0,0.014678519743642754,0.28385362828199295,0.023568327475708084,0.16911308662394045,0.9601417183348095
2,Census Tract 4030,0.375,63505.0,375100.0,06,037,403000,Census Tract 4030,6.0,34.0,457.0,28.0,3913.9383780665435,0.714972630453882,1.6676559138538773,0.08867628159360275,0.26174496644295303,0.020848207910895332,0.1291161178509532,1.0
4,Census Tract 4034.01,0.4159,103750.0,681000.0,06,037,403401,Census Tract 4034.01,0.0,16.0,119.0,13.0,4434.188034918284,0.42888281247023596,3.381137958283668,0.353299293008641,0.14650432050274942,0.01826394344069128,0.09642576590730557,0.9744081893793985
6,Census Tract 4034.02,0.3674,87311.0,692800.0,06,037,403402,Census Tract 4034.02,0.0,8.0,10.0,2.0,3897.0060576464944,0.4318736487775922,1.414559900681058,0.3173265936534681,0.22325189553496208,0.033136759337264815,0.049014084507042255,0.9428060768543343
8,Census Tract 4037.02,0.3111,113021.0,638000.0,06,037,403702,Census Tract 4037.02,0.0,16.0,54.0,10.0,4599.111375040883,0.4869635829880478,2.1488895252357385,0.2538676134922648,0.20542733958914533,0.009130103981739792,0.029710512950736415,0.9915611814345991
10,Census Tract 4040,0.4033,88681.0,521600.0,06,037,404000,Census Tract 4040,0.0,22.0,46.0,15.0,37242.621237201296,0.5850135454657495,1.2422869180590774,0.19170632222977566,0.2796283707228643,0.05189213686834353,0.13392250169952413,0.9660633484162896
12,Census Tract 4045.01,0.3314,56893.0,375000.0,06,037,404501,Census Tract 4045.01,0.0,4.0,7.0,8.0,1815.327330939455,0.8055945363816477,0.0,0.05911859548548907,0.20315299175922608,0.004657828735220351,0.12518853695324283,1.0
14,Census Tract 4046,0.4493,86250.0,475000.0,06,037,404600,Census Tract 4046,0.0,48.0,57.0,37.0,1632.4784199786307,0.8580299919451463,1.3166529308111068,0.1076923076923077,0.2424908424908425,0.026373626373626374,0.0847457627118644,0.9375
16,Census Tract 4060,0.3579,81000.0,513700.0,06,037,406000,Census Tract 4060,3.0,42.0,274.0,14.0,56120.74876629242,0.5528289091539562,6.854861222743026,0.18274932614555256,0.17484276729559747,0.03881401617250674,0.0749769159741459,0.9369931378665003
18,Census Tract 4063,0.4987,95231.0,869500.0,06,037,406300,Census Tract 4063,0.0,18.0,6.0,15.0,2312.749200305704,0.42924933669371645,4.068917168112352,0.3482562038900067,0.24178403755868544,0.028169014084507043,0.08383635144198524,0.9492868462757528
20,Census Tract 4071.02,0.3635,71176.0,484700.0,06,037,407102,Census Tract 4071.02,0.0,12.0,9.0,3.0,4832.804445934899,0.7221622060448573,2.5563436497057084,0.07003686150605581,0.2271370896963314,0.030366859750746007,0.028747795414462082,0.968299711815562
22,Census Tract 4074,0.3326,91389.0,578200.0,06,037,407400,Census Tract 4074,0.0,24.0,7.0,3.0,2797.149702333199,0.46409146942262547,0.7456024059465881,0.19230769230769232,0.2077922077922078,0.035464535464535464,0.022977022977022976,0.9739776951672863
24,Census Tract 4088,0.5143,40108.0,406900.0,06,037,408800,Census Tract 4088,0.0,50.0,11.0,5.0,2465.6512150834787,0.5846021428445605,3.9706885380042967,0.124945295404814,0.3757111597374179,0.05032822757111598,0.2967398536260812,0.8997821350762527
26,Census Tract 4089,0.4541,67209.0,560400.0,06,037,408900,Census Tract 4089,0.0,26.0,5.0,4.0,5556.106976671902,0.46149538809581064,4.112859098288498,0.2788573326689919,0.14681946520511543,0.03172230526490616,0.07138001359619306,0.9475713184271396
28,Census Tract 4090,0.3723,62894.0,368900.0,06,037,409000,Census Tract 4090,13.0,116.0,201.0,17.0,1750.5830091784694,0.6241147025226869,0.816796180962701,0.13417218543046358,0.23072847682119205,0.03377483443708609,0.18495821727019499,0.9309884238646483
30,Census Tract 4091,0.405,71384.0,461700.0,06,037,409100,Census Tract 4091,0.0,14.0,0.0,3.0,11944.492748189645,0.5837097997893774,2.9760640713953177,0.09143068665556173,0.24005182306126227,0.03053858967240422,0.114529280948851,0.9704848910751932
32,Census Tract 4001,0.4649,220921.0,1244900.0,06,001,400100,Census Tract 4001,1.0,16.0,81.0,31.0,4243.2686736133,0.40425258680117315,4.757047762752287,0.6958813838550247,0.11927512355848435,0.005271828665568369,0.04445919044459191,0.9029057406094968
33,Census Tract 4002,0.3717,200192.0,1577800.0,06,001,400200,Census Tract 4002,0.0,26.0,91.0,12.0,10953.869060500643,0.40112563754382563,16.297057095189235,0.6928895612708018,0.2546646495209279,0.049420070600100854,0.058464667005592275,0.969626168224299
34,Census Tract 4003,0.4709,118695.0,1281800.0,06,001,400300,Census Tract 4003,0.0,60.0,169.0,70.0,4027.6634968424955,0.38557003873618884,13.160283326465855,0.6012257809410835,0.2479240806642942,0.021945432977461446,0.05140466228332337,0.9046372475691847
35,Census Tract 4004,0.4863,137067.0,1167600.0,06,001,400400,Census Tract 4004,0.0,26.0,58.0,42.0,3885.801014335804,0.40298143627944444,14.198668908447218,0.576214405360134,0.2782962431203637,0.015793251974156496,0.09431245500359971,0.9235668789808917
36,Census Tract 4005,0.4098,110052.0,982900.0,06,001,400500,Census Tract 4005,0.0,28.0,77.0,50.0,4606.825249647081,0.35401187167792997,6.146498000288279,0.5055956229793583,0.3230539666749565,0.0420293459338473,0.09773688137279284,0.9298245614035088
37,Census Tract 4006,0.4004,135682.0,940100.0,06,001,400600,Census Tract 4006,0.0,20.0,8.0,18.0,202.85889656439795,0.3454489210959717,14.683471088746307,0.488962472406181,0.3383002207505519,0.039183222958057394,0.09816971713810316,0.888030888030888
38,Census Tract 4007,0.4365,94700.0,773900.0,06,001,400700,Census Tract 4007,0.0,54.0,39.0,61.0,2999.5507322303124,0.37072530037583873,13.190125238770765,0.4551790900290416,0.3297192642787996,0.04104549854791868,0.10897435897435898,0.9427184466019417
39,Census Tract 4008,0.5205,79091.0,750000.0,06,001,400800,Census Tract 4008,0.0,16.0,102.0,32.0,10954.162990202607,0.3463067508554273,21.874393009611797,0.4611347163209198,0.34316420894776306,0.02549362659335166,0.09847538115471133,0.9631260319207485
40,Census Tract 4009,0.443,78235.0,865800.0,06,001,400900,Census Tract 4009,0.0,10.0,31.0,38.0,4373.758289272452,0.3697778375340097,11.270792912359891,0.3322818086225026,0.35436382754994744,0.03645285664213109,0.08832807570977919,0.899671052631579
41,Census Tract 4010,0.4247,105446.0,786700.0,06,001,401000,Census Tract 4010,0.0,54.0,39.0,70.0,34840.73329700727,0.3564420080387767,14.570416598738584,0.4152220571239888,0.3787353475317814,0.04639260359914149,0.08261731658955718,0.9093507554103716
42,Census Tract 4011,0.4562,83649.0,1041400.0,06,001,401100,Census Tract 4011,1.0,42.0,123.0,49.0,200.50560420470464,0.3579638693981278,12.731480625426256,0.5938158819395642,0.4012649332396346,0.04544389786835325,0.1304755211993441,0.9842057761732852
43,Census Tract 4012,0.445,98906.0,893800.0,06,001,401200,Census Tract 4012,0.0,24.0,61.0,21.0,5385.301924385972,0.39442092737726625,7.4173631939723546,0.584777694046722,0.32893745290128107,0.04634513941220799,0.11700113593335858,0.9414448669201521
44,Census Tract 4013,0.4784,77328.0,837900.0,06,001,401300,Census Tract 4013,1.0,38.0,203.0,36.0,7864.346689052285,0.3456748602407347,13.285016998268166,0.43838120104438644,0.39451697127937335,0.0381201044386423,0.17791584298220842,0.9591409114719749
45,Census Tract 4014,0.5461,67863.0,697300.0,06,001,401400,Census Tract 4014,0.0,38.0,28.0,61.0,15601.224899556277,0.36683544909522575,3.7154299891325917,0.32522982635342185,0.4339121552604699,0.051889683350357506,0.3172329103561195,0.90234375
46,Census Tract 4015,0.583,70033.0,586800.0,06,001,401500,Census Tract 4015,0.0,24.0,14.0,23.0,3518.9962550295995,0.3768096722985087,20.311319525703492,0.3174715909090909,0.42613636363636365,0.056463068181818184,0.18039772727272727,0.9076406381192276
48,Census Tract 4016,0.5141,52463.0,637800.0,06,001,401600,Census Tract 4016,2.0,32.0,26.0,21.0,7634.092091877122,0.42101885991319643,11.974713000399554,0.2550607287449393,0.3882141250562303,0.07557354925775979,0.19163292847503374,0.9334073251942286
49,Census Tract 4017,0.3954,124007.0,601200.0,06,001,401700,Census Tract 4017,1.0,22.0,59.0,43.0,1217.1207481524725,0.3798637069959572,14.984264137977927,0.42336448598130844,0.30778816199376946,0.048286604361370715,0.16317599249765552,0.8947368421052632
50,Census Tract 4018,0.437,72128.0,673400.0,06,001,401800,Census Tract 4018,0.0,14.0,23.0,36.0,5811.471473446955,0.39644358124638107,10.110013575870997,0.3739884393063584,0.3895953757225434,0.03410404624277456,0.1115606936416185,0.8613445378151261
51,Census Tract 4022,0.538,85000.0,703300.0,06,001,402200,Census Tract 4022,0.0,32.0,36.0,76.0,875.423315534885,0.3630102783234915,14.484141898492737,0.3950565563468789,0.31671554252199413,0.044407205697528276,0.2141025641025641,0.8914405010438413
53,Census Tract 4024,0.6127,28114.0,666200.0,06,001,402400,Census Tract 4024,0.0,18.0,13.0,10.0,4897.1703348022465,0.362807033314178,13.840480610512007,0.30154102457309456,0.34152436484798,0.04914618908788005,0.18870292887029289,0.9419713831478538
54,Census Tract 4025,0.533,31128.0,826500.0,06,001,402500,Census Tract 4025,0.0,28.0,14.0,3.0,5652.855462735768,0.4062025419962094,6.31406052322055,0.14758403361344538,0.32037815126050423,0.06092436974789916,0.29884453781512604,0.9334186939820742
55,Census Tract 4026,0.5444,34375.0,603100.0,06,001,402600,Census Tract 4026,0.0,20.0,26.0,3.0,1227.811976351241,0.3596233960514327,8.437972869092333,0.2597609561752988,0.19203187250996015,0.023107569721115537,0.2358565737051793,0.9447077409162717
56,Census Tract 4027,0.5126,90625.0,770800.0,06,001,402700,Census Tract 4027,0.0,6.0,38.0,23.0,1820.030869635439,0.37041209739783765,2.1756818284538784,0.412558380902958,0.3689673066943435,0.014530358069538143,0.20586694604504976,0.8793532338308457
59,Census Tract 4031,0.4578,120227.0,618800.0,06,001,403100,Census Tract 4031,2.0,34.0,158.0,19.0,4202.503429478019,0.3619550851332068,8.579662205824771,0.47472315840154067,0.3678382282137699,0.06451612903225806,0.15768799102132436,0.859073359073359
61,Census Tract 4033.02,0.3943,148025.0,600400.0,06,001,403302,Census Tract 4033.02,0.0,20.0,99.0,5.0,2889.3094048004555,0.35997546471937286,3.703587123331242,0.7660108832147342,0.4872331519464211,0.0,0.06236919213059858,0.8576533650982728
62,Census Tract 4035.01,0.5208,57132.0,758800.0,06,001,403501,Census Tract 4035.01,0.0,38.0,81.0,24.0,3727.0794911916414,0.33415803792970805,14.133970820658181,0.5664571171980243,0.3435114503816794,0.03547373147732375,0.14122137404580154,0.9067431850789096
63,Census Tract 4035.02,0.4271,79926.0,441800.0,06,001,403502,Census Tract 4035.02,0.0,10.0,7.0,13.0,9680.042419059453,0.3793432483105351,8.038618427959719,0.6083070452155626,0.42008412197686645,0.02050473186119874,0.09200841219768664,0.881769641495042
64,Census Tract 4036,0.4054,80421.0,640400.0,06,001,403600,Census Tract 4036,0.0,6.0,1.0,13.0,7471.867646137729,0.3648559915446868,8.38938388236921,0.4983876746685776,0.29899677534933716,0.03081332855607309,0.12954503928375663,0.9458161865569273
65,Census Tract 4037.01,0.4111,75875.0,488700.0,06,001,403701,Census Tract 4037.01,0.0,8.0,25.0,13.0,901.8496117898479,0.3544954062590241,11.228904198583217,0.6023054755043228,0.4048991354466859,0.030619596541786743,0.12951477562933236,0.9666119321291735
66,Census Tract 4038,0.4423,128782.0,1143200.0,06,001,403800,Census Tract 4038,0.0,32.0,162.0,36.0,6079.471582761278,0.3791594665053326,11.48108005574197,0.6587933978372226,0.22566875355719979,0.00796812749003984,0.03671030165054069,0.9365904365904366
67,Census Tract 4039,0.4079,112807.0,636700.0,06,001,403900,Census Tract 4039,0.0,26.0,65.0,36.0,615.9047256296531,0.39144548324445333,13.263636031858525,0.6125667151868025,0.3296943231441048,0.029839883551673944,0.06889859291606017,0.922972972972973
68,Census Tract 4041.01,0.4348,101548.0,904600.0,06,001,404101,Census Tract 4041.01,0.0,28.0,53.0,18.0,4231.762882045358,0.3978886947014437,11.290489149469808,0.6994645247657296,0.2774431057563588,0.02175368139223561,0.050200803212851405,0.9433314253005152
69,Census Tract 4041.02,0.4754,83850.0,691700.0,06,001,404102,Census Tract 4041.02,0.0,18.0,74.0,12.0,1374.9781645192736,0.37898523448015164,8.07653036266884,0.5767918088737202,0.21767159651118695,0.008342813803564657,0.09166998804304503,0.914868804664723
70,Census Tract 4042,0.4572,188194.0,1223400.0,06,001,404200,Census Tract 4042,0.0,60.0,63.0,20.0,5714.725310541347,0.3808261133385356,6.510200961670708,0.5499215891270256,0.12415054887611082,0.04155776267642446,0.049600440892807934,0.9621428571428572
71,Census Tract 4043,0.4488,212500.0,1683700.0,06,001,404300,Census Tract 4043,0.0,18.0,11.0,30.0,9032.081147773744,0.41378567035641917,7.691581985265736,0.6508742244782854,0.16779469825155105,0.03609701071630006,0.04427523970671179,0.9290586630286494
