,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 21.01,0.4496,41738.0,246700.0,41,039,002101,Census Tract 21.01,3.0,20,197.0,1.5016287337606957,30.0,979.6467575453213,0.4633064352975128,1.0905183182961975,0.14619030258840685,0.23806051768137076,0.054684651841049946,0.22530076558512577,0.9788213627992634
4,Census Tract 24.01,0.3772,98847.0,334600.0,41,039,002401,Census Tract 24.01,0.0,24,14.0,3.4333378761179634,35.0,1042.5147776050594,0.46801327181113495,3.7545397784918824,0.283312101910828,0.07821656050955414,0.006114649681528662,0.04143222506393862,1.0
6,Census Tract 25.01,0.3293,61935.0,217500.0,41,039,002501,Census Tract 25.01,0.0,32,7.0,4.14305405470927,8.0,1477.9238238717116,0.45150615662088306,1.7954358147424183,0.10825828702816631,0.20693619467330907,0.03104042920099636,0.21254355400696864,0.9854748603351955
8,Census Tract 30,0.4354,67949.0,398800.0,41,039,003000,Census Tract 30,0.0,62,56.0,5.8437410075683145,28.0,3849.1035448328753,0.4659140704694884,0.8867254431993169,0.4296020988194141,0.15325754263226934,0.020550940096195888,0.1414516834280717,0.9299955693398316
10,Census Tract 33.01,0.3412,51331.0,196300.0,41,039,003301,Census Tract 33.01,1.0,32,80.0,4.824753644382891,83.0,1947.123126332787,0.42481600100211114,4.49998386149674,0.15830968148848942,0.2425102491327657,0.06054872280037843,0.11934156378600823,0.947178002894356
12,Census Tract 33.02,0.4199,40326.0,170900.0,41,039,003302,Census Tract 33.02,0.0,22,31.0,4.075024640137023,70.0,2772.373088758233,0.4596185911977657,2.049450715832673,0.11380145278450363,0.24778046811945117,0.046811945117029866,0.30253475061324614,1.0
14,Census Tract 17.03,0.3551,70724.0,219500.0,41,047,001703,Census Tract 17.03,0.0,42,42.0,7.235418766246548,20.0,3093.877708676736,0.4972761868064923,0.0,0.1089515978321809,0.20201831433376938,0.04728088207811624,0.09667045024593265,0.9404828747894441
16,Census Tract 21.02,0.3638,54697.0,256900.0,41,047,002102,Census Tract 21.02,0.0,26,78.0,2.3976146077619287,43.0,4043.161455284631,0.47459098147534534,1.6710296507694018,0.22513328255902512,0.1869002284843869,0.027722772277227723,0.06487730061349693,0.9515248796147673
19,Census Tract 1.01,0.4997,69479.0,465500.0,41,051,000101,Census Tract 1.01,0.0,24,46.0,6.761531387575154,19.0,4116.792648109082,0.47658946087758935,2.492531648893982,0.5193430656934307,0.2514598540145985,0.06496350364963503,0.18621700879765396,0.928428093645485
22,Census Tract 1.02,0.4638,116317.0,565800.0,41,051,000102,Census Tract 1.02,0.0,34,177.0,4.734939408630809,56.0,11273.028091454244,0.4416313331768741,10.406622203141632,0.5478847651180898,0.18245522969114975,0.015053205294575656,0.0534648325979756,0.9509456264775413
25,Census Tract 8.01,0.5052,82383.0,507300.0,41,051,000801,Census Tract 8.01,0.0,70,108.0,5.683315675652466,48.0,3117.8873459916513,0.4371355766157389,5.231790472740711,0.4183134415965564,0.2543533555077284,0.05478379964781843,0.139698689101937,0.9850942569048663
26,Census Tract 8.02,0.3536,64871.0,429600.0,41,051,000802,Census Tract 8.02,0.0,60,95.0,5.966388763358527,26.0,7345.3935499685795,0.4483587212607004,9.979390190880206,0.3919253475528471,0.31860597981336886,0.05465625595124738,0.12359336257867633,0.9462970983109571
