,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 79.05,0.4852,110625.0,421200.0,06,071,007905,Census Tract 79.05,3.0,2.0,64.0,12.786236350844788,176.0,6350.235957366673,0.49075718454553097,1.8723426716888651,0.2820936639118457,0.17548209366391185,0.026170798898071626,0.05068870523415978,1.0
3,Census Tract 80.03,0.5657,34583.0,304400.0,06,071,008003,Census Tract 80.03,3.0,2.0,13.0,13.333209992688026,163.0,5337.892530712003,0.5826307850779283,0.0,0.07557994512347219,0.26939386380643554,0.0054876527812422055,0.39436268396108753,0.9021820917983446
5,Census Tract 91.09,0.3645,64736.0,283600.0,06,071,009109,Census Tract 91.09,0.0,2.0,29.0,6.8083017596333955,14.0,8446.041519622655,0.4689150996442756,1.4545196643214953,0.09527111357648038,0.23755373734572183,0.0457634170018028,0.09835837506956038,0.9826291079812206
8,Census Tract 170.68,0.4456,99830.0,724100.0,06,073,017068,Census Tract 170.68,2.0,4.0,28.0,25.28641979563876,3.0,1534.0861218216662,0.36040005363043903,6.3270768505197745,0.422337870296237,0.2199759807846277,0.05024019215372298,0.03182546036829464,0.9923871669385536
9,Census Tract 170.69,0.462,130926.0,610800.0,06,073,017069,Census Tract 170.69,0.0,8.0,29.0,32.48747450125111,7.0,2549.8069564220577,0.3765068317152465,3.109349713036756,0.5655117483074472,0.1632815611310235,0.027479091995221028,0.019514137793707687,1.0
10,Census Tract 54.01,0.3391,108772.0,625000.0,06,111,005401,Census Tract 54.01,12.0,2.0,135.0,1.0401741785503587,121.0,17270.60653031804,0.5113447334418362,3.451304245355703,0.2178042853987188,0.17760106030483763,0.026728517782195715,0.10117334514058003,1.0
12,Census Tract 59,0.4743,37125.0,143800.0,06,029,005900,Census Tract 59,1.0,12.0,19.0,1.3631729289556218,109.0,8012.463944563979,0.46155767271080345,0.0,0.02975304968759298,0.2058911038381434,0.03957155608449866,0.30348110681344836,0.8069639584605987
14,Census Tract 20.01,0.4016,65412.0,401900.0,06,047,002001,Census Tract 20.01,0.0,10.0,4.0,7.579605730705781,19.0,453.7243997751303,0.6222219176580231,0.0,0.16175156389633602,0.15192135835567472,0.0,0.32082216264521896,0.693069306930693
17,Census Tract 20.02,0.451,59740.0,290500.0,06,047,002002,Census Tract 20.02,0.0,6.0,0.0,7.929764912526545,20.0,5883.689615012747,0.5776587947941759,0.0,0.08242633395274754,0.19670825590655694,0.02548447040084948,0.21077780727369258,0.8950877192982456
22,Census Tract 24.01,0.517,36404.0,307700.0,06,047,002401,Census Tract 24.01,0.0,14.0,8.0,5.119640993075411,34.0,2074.0213334450327,0.5606108680404797,1.6394616609520538,0.07142857142857142,0.18114874815905743,0.03755522827687776,0.2187039764359352,0.7899686520376176
29,Census Tract 26.01,0.3762,95236.0,267000.0,06,047,002601,Census Tract 26.01,0.0,12.0,23.0,6.457429880206155,14.0,2836.459642998993,0.4639924307138776,1.0691884860813214,0.13459915611814346,0.1489451476793249,0.019831223628691982,0.09957805907172995,1.0
34,Census Tract 26.02,0.4507,89375.0,306400.0,06,047,002602,Census Tract 26.02,0.0,6.0,4.0,6.023845129448953,26.0,5254.389822617188,0.45592071969047726,5.001086715530854,0.2498760535448686,0.22310361923648983,0.034209221616261776,0.11824491819533961,0.966973886328725
41,Census Tract 1,0.4061,40789.0,119200.0,06,049,000100,Census Tract 1,2.0,16.0,21.0,4.688648266634352,37.0,2146.243101522339,0.47447070067004593,0.0,0.11154895422855411,0.19945438011518643,0.057290087905425884,0.2510210493245366,0.8261659600242277
54,Census Tract 4,0.4377,40950.0,175200.0,06,049,000400,Census Tract 4,4.0,22.0,76.0,3.9411770380442475,56.0,1174.7672255541547,0.4602142726338523,2.5637468388623814,0.16546242774566475,0.07586705202312138,0.024566473988439308,0.13343002175489485,0.6955017301038062
70,Census Tract 6,0.4735,29896.0,571400.0,06,067,000600,Census Tract 6,0.0,22.0,49.0,3.902603496288469,72.0,1344.607089685646,0.4364083160374058,2.6094001519845818,0.2948207171314741,0.44940239043824703,0.10836653386454183,0.19760956175298805,0.9182879377431906
86,Census Tract 14,0.4923,50763.0,675000.0,06,067,001400,Census Tract 14,0.0,22.0,68.0,3.7542967331059143,68.0,3244.767537558655,0.44048831382210674,11.20825870543262,0.5695418902187371,0.4358233594717293,0.018572018159306643,0.17289313640312773,0.9375991538868323
94,Census Tract 19,0.4147,58110.0,514100.0,06,067,001900,Census Tract 19,0.0,2.0,2.0,6.715903411159264,46.0,1725.4710379682342,0.4415904437428026,21.260232124885256,0.3558146864166404,0.47462968799243616,0.03561298455720139,0.12669398046013236,0.9106085083467959
99,Census Tract 32.02,0.4515,42219.0,213400.0,06,067,003202,Census Tract 32.02,0.0,4.0,0.0,10.316863114620919,13.0,3727.6048899623615,0.4516365314068144,0.0,0.0691225165562914,0.2361341059602649,0.038286423841059604,0.2825814536340852,0.9264790350373349
104,Census Tract 95.02,0.4339,38218.0,132900.0,06,071,009502,Census Tract 95.02,0.0,6.0,76.0,13.48495102922675,12.0,1148.7742102890218,0.413803653199671,0.0,0.028357824181490073,0.21165248775457593,0.019850476927043052,0.454240783707141,0.9798657718120806
107,Census Tract 62,0.3977,162625.0,1000000.0,06,111,006200,Census Tract 62,2.0,40.0,152.0,3.5126823575934836,2.0,899.1394884230444,0.4310929988901198,9.132989112302882,0.403062787136294,0.10719754977029096,0.007044410413476264,0.031852986217457885,0.9906629318394025
109,Census Tract 65,0.4631,73965.0,590900.0,06,111,006500,Census Tract 65,13.0,80.0,308.0,5.534033455636005,115.0,986.2680856978241,0.4739802917956239,6.300970817825984,0.18671747414262385,0.19624387588459444,0.028579205225911813,0.12493195427327164,0.9535683576956148
112,Census Tract 71,0.5165,46940.0,386500.0,06,111,007100,Census Tract 71,6.0,22.0,59.0,7.5297609218143755,51.0,2490.504551667692,0.5084788171322394,5.553251476124357,0.2447434819175778,0.2359125315391085,0.043173535183627695,0.1447995514437903,0.9374816554153214
114,Census Tract 74.02,0.4671,153421.0,1081400.0,06,111,007402,Census Tract 74.02,0.0,20.0,18.0,8.00164436165365,63.0,6539.947012244207,0.44041431163914996,9.674899067542373,0.5024950099800399,0.12741184298070526,0.024617431803060547,0.0171244489657511,0.9364293871336125
117,Census Tract 5,0.4367,54375.0,206400.0,06,031,000500,Census Tract 5,0.0,2.0,42.0,4.731678412491148,50.0,4907.753406160995,0.6318887731105348,1.7340298935643979,0.0920279206465834,0.1565025716385011,0.022226304188096988,0.1960014947683109,0.9250913520097442
127,Census Tract 45.01,0.3908,37500.0,224200.0,06,067,004501,Census Tract 45.01,0.0,14.0,14.0,1.9176557605285502,61.0,11625.872541171671,0.49914147550580895,0.12158069296680943,0.03540519276160504,0.2979281405717283,0.034093889325990036,0.34592184631523737,0.9214474845542807
130,Census Tract 100.12,0.4066,53295.0,248700.0,06,071,010012,Census Tract 100.12,1.0,14.0,10.0,20.045821220648083,2.0,7643.305944174683,0.5573644716026596,1.6881657125032523,0.06396677050882658,0.24485981308411214,0.034683281412253374,0.12348048624440179,0.9263377345378735
132,Census Tract 80.02,0.368,72361.0,558100.0,06,111,008002,Census Tract 80.02,0.0,0.0,0.0,12.865085327340411,78.0,4539.534017518003,0.5060375773390966,4.3376052408698635,0.08935054457442518,0.18898749495764422,0.02218636546994756,0.12873888439773645,0.9871194379391101
134,Census Tract 83.03,0.416,82600.0,577300.0,06,111,008303,Census Tract 83.03,0.0,0.0,32.0,16.640784094008012,82.0,962.2351653652428,0.44105765699596033,5.139615412187469,0.20014144271570014,0.24186704384724186,0.022866572371522866,0.05144927536231884,0.9399477806788512
137,Census Tract 101.04,0.5725,60175.0,292400.0,06,113,010104,Census Tract 101.04,0.0,16.0,26.0,17.856412052951036,9.0,3805.496662104909,0.5199556301654237,1.9723331531667943,0.1083984375,0.17220052083333334,0.041015625,0.19514973958333334,0.9477093937991671
140,Census Tract 10,0.4777,48945.0,264100.0,06,033,001000,Census Tract 10,0.0,12.0,64.0,4.900137442310069,59.0,7514.230666891992,0.49284684642815935,0.0,0.07926065162907268,0.20598370927318296,0.049968671679197996,0.20138343027825814,0.8857254290171607
146,Census Tract 214.01,0.3567,84750.0,353500.0,06,061,021401,Census Tract 214.01,4.0,20.0,126.0,5.785131456013177,27.0,1221.8780659500296,0.48539341746314085,0.43439444520366444,0.11796898753420493,0.2408026755852843,0.022195196108239588,0.09603469640644362,0.9641025641025641
148,Census Tract 68.01,0.4055,36250.0,181100.0,06,067,006801,Census Tract 68.01,0.0,0.0,41.0,7.851721971566647,26.0,1875.1792141770177,0.5156140411140708,0.0,0.03407290015847861,0.26386687797147385,0.04754358161648178,0.12757527733755944,0.7871939736346516
150,Census Tract 68.02,0.4358,24020.0,170200.0,06,067,006802,Census Tract 68.02,2.0,12.0,73.0,6.722506981313039,35.0,2114.9558193157136,0.5048497219950392,0.0,0.027624309392265192,0.19152854511970535,0.02716390423572744,0.3139963167587477,0.8592283628779979
153,Census Tract 214.02,0.6321,89531.0,734500.0,06,073,021402,Census Tract 214.02,10.0,10.0,92.0,6.6837148679231495,49.0,3815.376459943246,0.49546103881785564,5.265869528807668,0.3232758620689655,0.15815649867374004,0.01823607427055703,0.0917890520694259,0.947129909365559
154,Census Tract 77.01,0.4416,48267.0,410800.0,06,067,007701,Census Tract 77.01,0.0,4.0,19.0,11.045757140976367,156.0,12412.399616650984,0.37984666932693256,2.6472604126345507,0.16652506372132542,0.2993486264514302,0.08113848768054376,0.22803738317757008,0.9299674267100977
156,Census Tract 77.02,0.4567,141761.0,570300.0,06,067,007702,Census Tract 77.02,0.0,2.0,8.0,10.844509381700421,113.0,7130.6094158929545,0.4467297433196842,8.366907786927724,0.4054850407978241,0.10766092475067997,0.029691749773345422,0.060933547942055646,0.9692168401991852
158,Census Tract 22.02,0.3804,43423.0,368700.0,06,073,002202,Census Tract 22.02,0.0,16.0,9.0,6.216992817645135,10.0,11181.254350547992,0.6173808533875736,4.50151553837041,0.08903983844317973,0.26216265834404257,0.027354507068110885,0.26124472186524694,0.9568385650224215
