,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 5123.14,0.4458,83201.0,787300.0,06,085,512314,Census Tract 5123.14,0.0,38.0,219.0,9.0,4093.636906890374,0.5121408041062712,2.5695647212501176,0.19886845827439886,0.2413012729844413,0.015841584158415842,0.08560367077717236,0.9700872455338596
1,Census Tract 5124.01,0.4298,120536.0,1132900.0,06,085,512401,Census Tract 5124.01,1.0,28.0,37.0,15.0,1925.588403921208,0.4860862749106003,0.6358710701629348,0.21268163804491413,0.16094231616028182,0.02553940995156319,0.07043189368770764,0.9091494845360825
2,Census Tract 5124.02,0.4688,123646.0,1114900.0,06,085,512402,Census Tract 5124.02,0.0,12.0,38.0,13.0,3706.471697482164,0.48474341725305936,4.936385530694386,0.18693862275449102,0.19666916167664672,0.045284431137724554,0.04640718562874251,0.9600997506234414
3,Census Tract 5125.05,0.3982,95368.0,642500.0,06,085,512505,Census Tract 5125.05,0.0,0.0,39.0,4.0,7131.336511830107,0.5643019585984168,0.6725774606968035,0.10590631364562118,0.21410386965376782,0.03347759674134419,0.12762705387848683,0.9832047208352247
4,Census Tract 5125.09,0.3305,147900.0,677500.0,06,085,512509,Census Tract 5125.09,0.0,24.0,56.0,7.0,4575.176694746969,0.48536127628803427,1.3083219769160157,0.15496098104793757,0.23801560758082496,0.02104236343366778,0.012319753604927902,0.9606126914660832
5,Census Tract 5125.10,0.496,105598.0,786000.0,06,085,512510,Census Tract 5125.10,0.0,10.0,45.0,2.0,10240.667926648814,0.4856551077091713,9.674586661618141,0.259499263622975,0.17599410898379972,0.027540500736377024,0.06742401888462674,0.9607113316790736
6,Census Tract 5125.11,0.5794,92500.0,742400.0,06,085,512511,Census Tract 5125.11,0.0,14.0,30.0,0.0,3628.086352409783,0.5425973924736421,0.0,0.268407960199005,0.15199004975124378,0.020149253731343283,0.061691542288557215,0.9090909090909091
7,Census Tract 5125.12,0.3958,75915.0,641400.0,06,085,512512,Census Tract 5125.12,0.0,8.0,4.0,2.0,4126.345316433587,0.5850493239269635,0.0,0.11863013698630137,0.17424657534246576,0.02493150684931507,0.04774156660949114,0.9611742424242424
8,Census Tract 5125.13,0.3919,93156.0,625700.0,06,085,512513,Census Tract 5125.13,1.0,20.0,122.0,2.0,1207.0493754416639,0.6743364145944039,0.0,0.11398963730569948,0.2204663212435233,0.03704663212435233,0.061917098445595856,0.9488330341113106
9,Census Tract 5125.14,0.3694,110221.0,629100.0,06,085,512514,Census Tract 5125.14,0.0,4.0,16.0,0.0,4576.698776661223,0.5821820240173596,2.819057727379797,0.10748752079866888,0.21863560732113144,0.039600665557404324,0.09417637271214642,1.0
10,Census Tract 5125.15,0.2705,161903.0,892800.0,06,085,512515,Census Tract 5125.15,0.0,0.0,9.0,3.0,2479.3940130252968,0.40800501873864436,3.386429004589488,0.3365244536940687,0.1490114464099896,0.046618106139438086,0.0753884922301554,1.0
11,Census Tract 5125.16,0.2774,141705.0,817300.0,06,085,512516,Census Tract 5125.16,0.0,0.0,6.0,0.0,2537.1823326642466,0.4758030063244456,0.0,0.2716954362733507,0.14731615039016316,0.02175455190352329,0.01253251359659494,0.9695501730103806
12,Census Tract 5126.02,0.3926,113333.0,1017400.0,06,085,512602,Census Tract 5126.02,2.0,44.0,498.0,5.0,901.5016746440044,0.5230874514814895,1.6279382882552662,0.12203264094955489,0.20771513353115728,0.018916913946587538,0.07695195195195195,0.8086560364464692
13,Census Tract 5126.03,0.4047,68686.0,548100.0,06,085,512603,Census Tract 5126.03,1.0,36.0,271.0,3.0,2009.0685243049975,0.7977890339240769,0.0,0.05244252873563218,0.22054597701149425,0.03807471264367816,0.12701855868884068,0.9224376731301939
14,Census Tract 5126.04,0.3592,83375.0,532600.0,06,085,512604,Census Tract 5126.04,2.0,14.0,105.0,1.0,2700.6889058474935,0.7833105584033011,0.0,0.05489417989417989,0.20987654320987653,0.03725749559082892,0.07149467838963443,0.9848754448398577
15,Census Tract 5130,0.5143,43866.0,829800.0,06,085,513000,Census Tract 5130,0.0,84.0,237.0,0.0,6961.878466360972,0.3786963174740912,2.510072336078317,0.34024339933993397,0.6641914191419142,0.022174092409240925,0.2690516511430991,0.8357851522408485
16,Census Tract 5135,0.324,121213.0,984600.0,06,085,513500,Census Tract 5135,0.0,2.0,237.0,2.0,450.00199843347235,0.47491430951084346,5.089085485382255,0.22938775510204082,0.10612244897959183,0.0,0.05877551020408163,0.8463414634146341
17,Census Tract 5002,0.3393,143333.0,981100.0,06,085,500200,Census Tract 5002,0.0,24.0,117.0,36.0,4401.197535416866,0.4255604231411647,2.1757979577214765,0.3861575178997613,0.41957040572792365,0.02163882259347653,0.08188679245283019,0.8957669549385525
18,Census Tract 5004,0.497,98769.0,1240900.0,06,085,500400,Census Tract 5004,0.0,18.0,88.0,17.0,7142.271744072827,0.42827022890169225,3.474632824631477,0.3665191740412979,0.35693215339233036,0.025073746312684365,0.06047197640117994,0.9896226415094339
19,Census Tract 5009.01,0.5259,95903.0,784200.0,06,085,500901,Census Tract 5009.01,2.0,32.0,413.0,14.0,2232.836701920133,0.38684227887681893,4.682239230175956,0.48335644937586686,0.47665279704114655,0.03143781784558484,0.28300138953219084,0.9445898778359512
21,Census Tract 5010,0.5839,40429.0,835800.0,06,085,501000,Census Tract 5010,2.0,20.0,161.0,64.0,2130.6444068068918,0.4202252871838865,0.0,0.2734678044996121,0.42552366175329714,0.0504266873545384,0.2639455782312925,0.9668900275916437
22,Census Tract 5011.01,0.4525,95658.0,777200.0,06,085,501101,Census Tract 5011.01,0.0,8.0,160.0,23.0,2404.2072061496756,0.4219665678712077,6.427377682854218,0.37144837144837145,0.29429429429429427,0.02702702702702703,0.13630041724617525,0.9666319082377477
23,Census Tract 5011.02,0.3771,112790.0,814800.0,06,085,501102,Census Tract 5011.02,0.0,8.0,121.0,45.0,2470.128840564592,0.5784639126506737,3.0068123277460894,0.21366181410974244,0.24748040313549832,0.01522956326987682,0.07277628032345014,0.9489423778264041
24,Census Tract 5013,0.4545,130885.0,1114300.0,06,085,501300,Census Tract 5013,0.0,22.0,51.0,21.0,19530.99828811392,0.3954330024799107,7.047644318449493,0.3256779868067432,0.3965306621060347,0.026386513559736136,0.23865258349985727,0.8564742589703588
25,Census Tract 5014.01,0.4392,54907.0,578400.0,06,085,501401,Census Tract 5014.01,0.0,18.0,76.0,7.0,139.38196897717393,0.5716335508126897,0.6366125490053702,0.11958467597565342,0.22592194772645902,0.021482277121374866,0.1323953823953824,0.9679358717434869
26,Census Tract 5014.02,0.4242,88417.0,737600.0,06,085,501402,Census Tract 5014.02,0.0,12.0,44.0,10.0,212.11121651750122,0.6061172027216448,5.325091409263471,0.13160392280923758,0.24739006643467257,0.025941157861436255,0.12907307813982916,0.9808383233532935
27,Census Tract 5015.02,0.4445,61087.0,781400.0,06,085,501502,Census Tract 5015.02,0.0,10.0,21.0,18.0,7511.387246318289,0.5769885295925743,1.401773546695731,0.1325906509392748,0.2656181738750546,0.008300567933595456,0.1325906509392748,1.0
