,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 16,0.4217,36096.0,127000.0,53,063,001600,Census Tract 16,0.0,42.0,69.0,10.902953037802389,20,6904.558914076935,0.44437481007914104,2.149977570564972,0.05562200956937799,0.24551435406698566,0.0215311004784689,0.37668564578963143,0.9363762102351314
3,Census Tract 20,0.4373,33374.0,139900.0,53,063,002000,Census Tract 20,0.0,26.0,37.0,9.975970405201611,31,5391.761984498919,0.435751051067471,4.006776381507448,0.10977406679764244,0.2541748526522593,0.05722003929273085,0.3123762376237624,0.9079787234042553
5,Census Tract 24,0.5278,26975.0,231900.0,53,063,002400,Census Tract 24,0.0,30.0,36.0,9.517613941606612,9,6030.6051237452875,0.41744238349000146,0.0,0.15485387974470943,0.3432986227746053,0.017467248908296942,0.41123818995524614,0.8458149779735683
8,Census Tract 26,0.3882,37711.0,129400.0,53,063,002600,Census Tract 26,0.0,38.0,102.0,8.574034465482283,23,4284.414727595168,0.3968625066674802,1.3410835221052726,0.09738521721227095,0.2944204241301215,0.022441836524603666,0.26015254586683156,0.8966853207059836
10,Census Tract 30,0.4027,43219.0,143700.0,53,063,003000,Census Tract 30,0.0,26.0,112.0,9.090657241160617,41,2265.3158390917374,0.41024821782788673,2.40493066300365,0.18615565115369573,0.3335940555338287,0.04732107938991005,0.24168947985921002,0.9002795899347623
12,Census Tract 39,0.5804,48250.0,114900.0,53,063,003900,Census Tract 39,0.0,28.0,11.0,8.951051585381173,11,2389.3453534728324,0.44783179668628587,0.0,0.2698560148629819,0.13934045517882024,0.055271713887598696,0.12494194147700882,0.9542910447761194
14,Census Tract 110.01,0.3851,55609.0,190400.0,53,005,011001,Census Tract 110.01,0.0,20.0,85.0,8.650193888972504,16,3869.7327407245753,0.4938899743853952,6.418227973327137,0.1532454009024644,0.23151683443248872,0.02273516140229087,0.20315512708150746,0.950109409190372
17,Census Tract 110.02,0.4246,45667.0,184100.0,53,005,011002,Census Tract 110.02,0.0,8.0,14.0,8.050821293164786,17,1101.2086071304905,0.49546841268824343,0.0,0.08773719649051213,0.28871658845133646,0.036115078555396855,0.20873291165068353,0.9367626238791883
20,Census Tract 113,0.4276,45769.0,156100.0,53,005,011300,Census Tract 113,0.0,42.0,31.0,9.027721364423494,19,33669.068847717,0.5301651977621242,0.0,0.0838984692888975,0.19259833365626816,0.037783375314861464,0.19029923723841188,0.9140708915145005
24,Census Tract 118.01,0.4672,61706.0,229800.0,53,005,011801,Census Tract 118.01,0.0,16.0,60.0,10.476687260030573,19,404.0114427779815,0.5094229346152286,0.0,0.07861111111111112,0.1897222222222222,0.011944444444444445,0.07194444444444445,0.9800332778702163
