,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 77.03,0.4883,46156.0,352100.0,11,001,007703,Census Tract 77.03,0.0,0.0,15.0,7.845117996926625,9.0,34412.59277727637,0.4981781904511724,0.0,0.04734799482535575,0.2807244501940492,0.06028460543337646,0.23648124191461836,0.9289383561643836
1,Census Tract 77.07,0.6454,32354.0,368800.0,11,001,007707,Census Tract 77.07,0.0,0.0,12.0,9.085997755224012,11.0,4414.3141528522365,0.482051044089738,10.196260137181746,0.1281544876014922,0.23107307439104674,0.04081632653061224,0.3982359426681367,0.907199100112486
2,Census Tract 77.08,0.4657,37803.0,274200.0,11,001,007708,Census Tract 77.08,0.0,0.0,0.0,6.6900222016355855,5.0,3481.76609994745,0.4844784801893713,5.461357815904591,0.04104347826086956,0.2643478260869565,0.04834782608695652,0.3036521739130435,0.870995670995671
3,Census Tract 77.09,0.5245,27798.0,358800.0,11,001,007709,Census Tract 77.09,0.0,0.0,12.0,6.50955422407696,4.0,5369.482178221519,0.4718699686354521,6.532624156716645,0.1312007417709782,0.23922114047287898,0.050533147890588784,0.319366852886406,0.8973481608212147
4,Census Tract 78.03,0.591,31846.0,346500.0,11,001,007803,Census Tract 78.03,0.0,24.0,14.0,8.207460005845961,30.0,4910.751208489613,0.47036458056280506,3.7793453890952318,0.13184253435825763,0.22478453296063358,0.07873282087118565,0.3172606568832984,0.8449367088607594
5,Census Tract 78.04,0.4989,55910.0,349100.0,11,001,007804,Census Tract 78.04,0.0,4.0,11.0,9.069522718876092,17.0,18401.56408371434,0.4735236458110964,17.3079036760835,0.14131433823529413,0.25275735294117646,0.04342830882352941,0.24020356234096693,0.8288288288288288
6,Census Tract 78.06,0.477,37697.0,435500.0,11,001,007806,Census Tract 78.06,0.0,10.0,5.0,8.956409748911314,12.0,6273.464060588242,0.47353501897177785,7.243807706886695,0.217425431711146,0.28532182103610676,0.06828885400313972,0.14364859517214087,0.8774805867126834
7,Census Tract 78.07,0.3952,49514.0,336600.0,11,001,007807,Census Tract 78.07,0.0,0.0,8.0,9.933504715439753,11.0,2966.5653697868856,0.4879943160852685,6.4051997583411575,0.0958904109589041,0.1793664383561644,0.2465753424657534,0.17679794520547945,0.8625429553264605
8,Census Tract 78.08,0.4814,47159.0,278900.0,11,001,007808,Census Tract 78.08,0.0,0.0,6.0,10.113590011526515,24.0,22210.013596219716,0.4879048571200895,3.7161130981579884,0.15131883387320685,0.16381304951411382,0.06524757056918093,0.34428505321610364,0.8505681818181818
9,Census Tract 78.09,0.4603,52592.0,266300.0,11,001,007809,Census Tract 78.09,0.0,0.0,3.0,8.973603224718003,12.0,8647.71587899948,0.48667044687029537,0.0,0.08226221079691516,0.2660668380462725,0.14010282776349614,0.31026713871902156,0.8142389525368249
10,Census Tract 79.01,0.4889,83279.0,608700.0,11,001,007901,Census Tract 79.01,0.0,0.0,19.0,4.867551157190459,32.0,9771.472837554786,0.39811251572461737,10.855589798280363,0.34870775347912525,0.27634194831013914,0.08210735586481113,0.2936951316839585,0.8886389201349831
11,Census Tract 79.03,0.3797,98654.0,578500.0,11,001,007903,Census Tract 79.03,0.0,0.0,2.0,5.390892938552715,17.0,206.90896345704186,0.3993937078584789,1.7278558298538431,0.32644017725258495,0.24372230428360414,0.043328409650418516,0.1137370753323486,0.8849347568208779
12,Census Tract 80.01,0.4481,167067.0,770900.0,11,001,008001,Census Tract 80.01,0.0,0.0,4.0,4.345530504799205,50.0,3113.334047726439,0.3908952798581233,13.726779873607128,0.6007439553626782,0.2495350278983261,0.029138251704897707,0.03699059561128527,0.8970013037809648
13,Census Tract 80.02,0.4346,159022.0,833200.0,11,001,008002,Census Tract 80.02,0.0,0.0,18.0,4.7750324886188364,36.0,14297.023550714166,0.4265367833270597,12.497194038936192,0.561100085058123,0.2699177771477176,0.014459880918627729,0.07081911262798635,0.9266358228684732
14,Census Tract 81,0.3801,145907.0,902900.0,11,001,008100,Census Tract 81,0.0,0.0,0.0,3.9211330498224046,53.0,2829.3775482093897,0.4460424880322792,20.226858241995966,0.7207678883071553,0.3045375218150087,0.008726003490401396,0.004387247733255338,0.9590680100755667
15,Census Tract 82,0.405,142014.0,898400.0,11,001,008200,Census Tract 82,4.0,0.0,19.0,3.3091699595873,79.0,1539.6619006477777,0.4407440195853926,17.90732117080793,0.66573902288188,0.3880643166357452,0.02906617192331478,0.051027170311464545,0.8811369509043928
16,Census Tract 83.01,0.3425,160970.0,873600.0,11,001,008301,Census Tract 83.01,0.0,2.0,54.0,3.1351054088948827,73.0,8918.384849482853,0.4259426469801331,10.772982241050876,0.6926438455935907,0.476693372177713,0.009468317552804079,0.055617767823814855,0.8362533692722371
17,Census Tract 83.02,0.3435,158878.0,1001100.0,11,001,008302,Census Tract 83.02,0.0,0.0,30.0,3.4991132702307115,65.0,4893.78067990955,0.43537684411881705,5.1148479897864485,0.6605439773931473,0.38043094312963616,0.0021193924408336277,0.010267693436010267,0.9263959390862944
18,Census Tract 84.02,0.4998,94924.0,686100.0,11,001,008402,Census Tract 84.02,0.0,0.0,70.0,3.940141840646641,53.0,14427.652899811343,0.3920724338213384,16.641590013436154,0.6913684210526316,0.3726315789473684,0.020210526315789474,0.06830717013152313,0.8883756735950731
19,Census Tract 84.10,0.349,187031.0,737700.0,11,001,008410,Census Tract 84.10,0.0,0.0,117.0,3.91244407549508,36.0,4362.207675789896,0.3736965130296161,15.237737398806964,0.6793321819228555,0.3471502590673575,0.03626943005181347,0.04226983207874928,0.9330543933054394
20,Census Tract 87.01,0.3746,123370.0,778100.0,11,001,008701,Census Tract 87.01,0.0,0.0,16.0,2.926537075162338,54.0,3774.576672188606,0.3749390763693701,5.4845916805237644,0.5672023374726077,0.39006574141709277,0.03214024835646457,0.0988929889298893,0.8733153638814016
21,Census Tract 87.02,0.3846,93174.0,473400.0,11,001,008702,Census Tract 87.02,0.0,2.0,26.0,3.3615758283157633,47.0,9162.726616105841,0.3626985924343602,17.491328457785244,0.5547081255500147,0.4602522733939572,0.028747433264887063,0.11088295687885011,0.9201703033528472
22,Census Tract 88.02,0.4742,61165.0,575400.0,11,001,008802,Census Tract 88.02,0.0,0.0,21.0,4.299271038567895,90.0,9602.793673397875,0.40923172789029,3.4280106960988337,0.30204626334519574,0.3374110320284697,0.049154804270462635,0.16933845111763376,0.8815860945138512
